id,CT,GeoPro
6001563,+2*2*5*6+6-3*5,1.6185035819944555
6001562,+2*2*5*6+6-3*4,1.6086375304748397
20851097,+4*6+0-5/1-2-2,1.6032540647663638
17644954,+2*4/1-1/4-2/1,1.5957073167585984
20654458,+2*4+6-3*4-2-2,1.59347935498412
9059776,+0*1/5+6+6-3-5,1.5867694316283163
17499624,+2*5/1-1*4-3/4,1.5778980399697058
12501450,+3*3*6+6-4*5-3,1.577093998125449
32392517,-1/3-3/4-6/3-0,1.5741003526552426
24530584,+3*6-2/0-4/5-6,1.5736627163076335
16731252,+2*5/1-3*3/0/4,1.5724348250748272
8942903,+2*5/1+2+4-1/4,1.5719744173433976
8942934,+2*5/1+2+4-6/4,1.5719744173433976
12489617,+2*3*6+6-1*5-2,1.5711441416041734
26109122,+6+6-3*3*3-1/4,1.5705780610025668
17644629,+2*4/1-0/1-3/4,1.5671848846062788
9803144,+3*6+6/3+0-4/3,1.5647765150494424
28355029,+5-1*4/0-3*6-1,1.5634852011755185
28355870,+5-1*5/0-3*6-2,1.5634852011755185
19861707,+4*6+6-2/0-4/1,1.5622032975524267
9695473,+1*6+6/5+6-3/5,1.5601565716951762
28615861,+5-5*6/3-1/4-1,1.5591972836772745
17340268,+6*6*6-2/0-4/5,1.5535944451948598
27617953,+6-1*2/0/3-4/1,1.5526006238625412
17645084,+2*4/1-2/1-3/4,1.5517552983373892
28777237,+0-0*2-6*6-6/3,1.5489234917089716
14446007,+3*6+6/5-3/5-0,1.5455011671269
26867531,+6+6-2/1-3/4-3,1.543568588099102
2278840,+3*6-2/0-5/3,1.5424848546710264
6525080,+0*0*1/5+6-2-5,1.541434366695487
18992568,+5*6+5-0*6/4-4,1.541085990587257
8936603,+2*4/1+0+5-1/4,1.5404924526766652
8936561,+2*4/1+0+4-1/4,1.5404924526766652
973789,+2*4/1+4-6/4,1.5404924526766652
4437406,+1*6/5+4*6+5-4,1.5388903427700862
26156711,+1+5-1*4/0-5*6,1.5346739731428671
18085293,+2*5/1-3/4-3-6,1.5340895426648458
22674325,+4*4-5*5*5-4/5,1.533909908520026
18980124,+4*6+5-0*3/4-4,1.5332500490295262
18980886,+4*6+5-6*6/4-4,1.5332500490295262
2720598,+0*2*3*6/4+6+6+6,1.5326883533722737
2330201,+6*6*6/3/5+5*6+6,1.5304291541029882
4175037,+2*2*6+3*6+6-3,1.5287571650127898
676675,+0*1*3*6*6*6+6+6,1.5265723886626217
6454452,+3*5/1/4+5-1/4,1.522811575996606
29395232,+6-6*6-5/1-2-2,1.5224031743463933
1589433,+1*6/5+0*0+5*6,1.5213973039732176
3769713,+0*0*1*6+6+6-0,1.5101165638981404
4174659,+2*2*6+1*6+6-3,1.5097574475784523
17003,+0*2*2*6*6*6+6,1.5095138497613727
16513,+0*1*2*6*6*6+6,1.5095138497613727
698179,+0*0*1*2*6/3+6+6,1.5095138497613727
679615,+0*3*3*6*6*6+6+6,1.5095138497613727
12855473,+0*1/4+0-0/4-3,1.50944664454831
5915078,+5*5*6*6*6-6-6,1.5088079178629328
9041286,+2*2*6+6+6-1-2,1.5087463668885475
29944403,-2*3*5*5-0*0/4,1.508330953268852
668471,+0*0*0*0*6*6+6+6,1.5075111414462474
28721201,+4-0*1/4-1-3-5,1.5073496993745876
9204221,+0*0+4*6+0-0/4,1.5057291254508143
28331174,+4-1*5/0-3*6-2,1.50485711189474
1638257,+0*2+6-2*5*5,1.5044943456751416
18975841,+4*6+0-1*1/4-6,1.5039589761336105
5914406,+3*4*6*6*6-6-6,1.503219324652039
23651791,+0*2-2*3*4-0-0,1.5006048799898115
22700840,+0*2-0*5/4-2*4,1.4946888768472149
880576,+0*0*0+6-5*5,1.4910914232793662
25750651,+3+5-1*1*1*5/2,1.4910793485513065
436386,+3*3*6*6*6-6,1.4894280833977005
27092225,+4-1*1*1/0/4-1,1.4872987559135482
28745317,+6-6*6/4-0-2-2,1.4862488103123217
29942492,-2*2*4*4-0*0/4,1.4851704732283262
7904816,+2*5*6+6/5-2-4,1.4844977774289057
7285859,+3*4/2+5*5-4/2,1.4828623575038726
7291745,+3*5/2+5*5-5/2,1.4828623575038726
28567981,+4-3*3/4-1/4-1,1.4816043524880724
5914826,+4*4*6*6*6-6-6,1.4814902323659487
76608,+1*3*6*6*6+6*6,1.481352488286648
13077771,+5*5/4+0-1/4-1,1.4735235535325073
4091314,+0*3*3/1+2*5/1+3,1.4700525635768937
249858,+1*4*6*6*6+6+6,1.4693252222884532
249970,+1*5*6*6*6+6+6,1.4693252222884532
29485554,+4-3/4-4/3-2-3,1.4626797408766206
9045451,+2*5*6+6+6-2-5,1.4609267643323076
3063711,+2*6+6+6+6+6+6,1.4549974595094013
27760345,+4-0*3/4/5-3-5,1.454210093742716
1613354,+5*5/4-1/4-1,1.4533870174931003
11621332,+0*0*1/5-2/1-0,1.4519651726579939
18125471,+4*4/5-4/5-3-4,1.4449322985809034
29953822,-0*0*5/3-0*2*3,1.4447951984932654
22651355,+2*5-1*2*5-5/2,1.4445778273409824
27228805,+1-1*2*3/0-1*1,1.4441896344870657
20599769,+0*2+1-1*1-2-2,1.4424733304907826
27227993,+1-1*1*2/3-1*1,1.4412439938407964
27994753,+1-1*1*2-1*1-2,1.432966924725642
3146123,+3*5*5/1+5*5*5/3,1.4317899751224274
1638502,+0*3+2-2*3*3,1.4273374005434596
26710599,+4+5-4*5-5/4-2,1.424178497362864
321538,+1*6*6*6+6*6*6,1.422833273124861
810149,+0*0*0/4/4/5+5+5,1.4123855954169324
