id,CT,GeoNgn
22685167,+5*6-0*0*2-5/4,1.6330284205247383
13281751,+3*6+5*6-6*6/4,1.632993696643803
13951953,+3*6+5*6-0/4-6,1.632993696643803
13265764,+1*6+2*6-0*6/4,1.6321475164820256
10810448,+3*6+0+6+6-0/4,1.6314281141726026
22965407,+5*6-1*1/4-1/3,1.6311999440505232
22969759,+5*6-6*6/1-5/4,1.6299978985777648
22969728,+5*6-6*6/1-0/4,1.6299978985777648
22670089,+3*6-2*6*6-5/4,1.6262153292269979
13265875,+1*6+2*6-6*6/4,1.6245073317322902
9279222,+1*6+3*6+0-5/4,1.6245073317322902
9279191,+1*6+3*6+0-0/4,1.6245073317322902
28745317,+6-6*6/4-0-2-2,1.6241817437589143
2196880,+1*1*6/3/5+3*6+0,1.6235187757526481
22938995,+3*6-6*6/4-2/3,1.621501226572681
2196886,+1*1*6/3/5+3*6+6,1.6205870431720684
21534800,+3+6+6-2*3/0-5,1.6183332038717029
1049698,+1*6+2*6-5/4,1.6163147487098417
13266463,+1*6+3*6-6*6/4,1.614917435843035
19837009,+3*6+0-0/4-2/3,1.6139663240729933
22957380,+4*6-6*6/1-0/4,1.6122731675043822
22965601,+5*6-1*2/3-5/4,1.6114956496168038
32151086,-2*6-3*3-1/4-6,1.6111178254272136
22953222,+4*6-1*2/3-0/4,1.6103121604340942
17255886,+4*4*6-1*4-1/4,1.6090292049463304
22686175,+5*6-0*5*6-5/4,1.6055806173842586
27762718,+4-1*4/5/5-3-5,1.6018055338450645
19837392,+3*6+0-2/3-5/4,1.59707306541917
22951909,+4*6-0*2/1-5/4,1.5960525593948767
22957530,+4*6-6*6/4-4/3,1.5955282860768316
917493,+3*5*6*6*6+3*6*6,1.5948695540264584
30769132,-0*3*3-1*3*3-6,1.5930035824337747
9300054,+2*6+5*6+6-5/4,1.5913081505704758
22969892,+5*6-6*6/4-6/5,1.5912693987382063
22964111,+5*6-0*1/4-2/3,1.586527583689491
22791282,+4*6-6*6/4-0*6,1.586527583689491
27329703,+2-1*2*2/3-3/4,1.5861141038082756
7244719,+1*6/5+5*6-0/5,1.5822100521507678
21534645,+3+6+6-1*2/0-5,1.58184371092663
20677834,+3*6+5-5*5-2-6,1.5804654024658105
804319,+0*1*6/5-2/0,1.5743966038128734
364689,+1*6*6*6/3/5+2*6,1.5741743188396178
22763519,+2*6-6*6/4-6*6,1.5735475408649073
16731252,+2*5/1-3*3/0/4,1.5708708380094212
18085290,+2*5/1-3/4-3-3,1.5699179038328588
27759400,+4-0*0/4/5-3-5,1.5688709074095324
18084941,+2*5/1-1/4-0-5,1.5685325639791452
12989827,+2*5/1+1-1/4-5,1.5649323580323096
25329620,+3*6-0*3-6-6-6,1.5640588778237812
14446007,+3*6+6/5-3/5-0,1.563301907555417
13125328,+2*5*6+6-2-2-5,1.5612613956667347
27759715,+4-0*1/4/5-3-5,1.5608469017318143
29017366,+4-5*5-2/0-4/3,1.5608210112905738
3143838,+0*0*0*6*6+6-2,1.55859467583588
17834265,+2*2*6-0/3-2-2,1.5580075979010788
3468499,-3*3-1-6-6-6,1.5565641868278062
32412601,-2/3-3/2-6/2-1,1.5556966338503753
26591950,+0+4-2*2-1/4-3,1.555653494313584
27964055,+5-3*5/4-5*5/4,1.555245712664799
25286938,+0*2-1*3-3-6-6,1.550860549084686
29483017,+4-2/5-3/4-3-5,1.54575398695767
5914126,+3*3*6*6*6-6-6,1.5457533828753216
13123365,+2*3*6+6-2-2-2,1.5456396419288294
21668550,+4+5+5-5*5-5/4,1.537024883213388
27183352,+3-1*3*5*5-2/0,1.5366015334599583
32367494,-0/4-2/0-4/0-2,1.5354985212968315
26090852,+4+4-2*2*2-1/4,1.5353813266242704
9041290,+2*2*6+6+6-2-2,1.5312055960101356
4132535,+0*2*6+2*6+6-5,1.530103718573613
26592010,+0+4-2*2-3/4-3,1.5291983812864665
28337679,+4-3*3/4-2*2-3,1.5290241444656159
7105499,+1*6/5+5*6-6*6,1.527740597908084
26027348,+0+4-2*2*2-1/4,1.5262899759431898
18910776,+2*2+3-2*3/0-5,1.5253479966995886
26980126,+3-1*1*1*1/0/4,1.5251109766018156
28825350,+3-0*0-1*2-3/2,1.5216031199965094
28976598,+3-1*2-1/3-3/2,1.5216031199965094
7244731,+1*6/5+5*6-2/5,1.5180711081247007
3138117,-2*5/4/4-0/4,1.516899007634593
1678703,+4*6+6-6*6/4,1.5143247068822547
27698257,+4-1*1*1/4-0-5,1.5139992003031564
22886567,+2*2-2*3/0-0/3,1.5118597952849613
2813741,+1-2*5/3-1*1,1.5118178501187152
12615377,+2*2*6+6-2/1-2,1.511513551243902
27992737,+1-0*2*6-1*1-2,1.5068233900380028
27422341,+1-1*2/5/5-1*1,1.5013384670408536
27422005,+1-1*2/0/0-1*1,1.4984424950527564
28751793,+1-1*1-1*2-2*2,1.4919992636825747
19518419,+0*4+4-1*1-1/4,1.4886497375379903
22133486,+0*2-0*5/1/1-2,1.4881418696059945
22661664,+3*4-1*1*4-1/4,1.4871253797974098
251513,+1-1*1*5/4,1.4827449756153996
24386714,+5*6-6*6-6/5-0,1.4653888073959624
17716182,+0*1*6-6*6-0-6,1.464169229703694
29032228,+5-2*2-5/4-5/4,1.462587324398313
28848380,+4-0*5-5*5-5/4,1.4624532286806475
26589910,+0+4-0*3-3/4-3,1.4605931997708304
26962381,+1-1*1*1*1*1/4,1.450622819595488
3094449,+1*6*6*6*6*6-6,1.4503280684425424
26654178,+2+3-3*3-2/3-5,1.4500475673315338
