id,CT,GeoPro
21831674,+0+4+4-3-3-5-5,1.5908671700675059
23799900,+3*6-2*3/0-2-6,1.5734528044306302
22195972,+3*6-2*3/0/1-6,1.5729517096202477
27761962,+4-1*2/3/4-3-5,1.5709371835512702
27763663,+4-2*2/3/4-3-5,1.5709371835512702
6525628,+0*0*2/4+4-3-5,1.5669416621100072
29004461,+4-1*5-0/5-5/2,1.558778998299461
2301157,+2*4/1+2/5+1+5,1.5368635438479707
2301172,+2*4/1+2/5+5+6,1.5368635438479707
4071729,+0*2*2/4+2*4/1+4,1.5334136504592084
26496339,+4+6-6*6/0-3-5,1.5287540300706575
22196077,+3*6-2*4/0/1-6,1.526035230605728
27701608,+4-2*6*6/1-3-5,1.5150123737085246
20641590,+1*6+4-6*6-3-5,1.5150123737085246
27698101,+4-0*6*6/1-3-5,1.5150123737085246
2674052,+1+4-1*1-3-5,1.5150123737085246
26496384,+4+6-6*6/3-3-5,1.5150123737085246
12761957,+2*4/1+3-2*2-2,1.5126640809155305
17493886,+2*4/1-2*2-6/1,1.5126640809155305
7114692,+2*4/1+0*3-2*2,1.5126640809155305
21760006,+0+4+6-0*2-3-5,1.5126118320454505
2834543,+6-3*3/0-0*5,1.50926928790305
1225799,+1*1*6+2*4/1+0,1.5049205243278876
2301077,+2*4/1+2/1+2+4,1.5049205243278876
2154967,+2*4/1+2*6+1+3,1.5049205243278876
6525040,+0*0*1/5+4-3-5,1.5012124816072667
26503893,+6+6-3*5/0-0-1,1.4965967985252866
26514354,+0+4-1*2-3*3-5,1.4957005993987955
21760066,+0+4+6-1*2-3-5,1.4945326902041405
26491079,+4+4-3*4/5-5-5,1.493524887300299
28355981,+5-1*5/2-1*5-6,1.489930896097681
16187057,+3/1+5+6-0/2-1,1.4872017112668947
27460788,+4-1*1/6/6-1*4,1.4863725288138259
27460789,+4-1*1/6/6-1*5,1.4863725288138259
12981951,+2*4/1+4-6/5-0,1.4827504659863038
12990977,+2*5/1+5-5/3-2,1.4827504659863038
12990971,+2*5/1+5-5/2-2,1.4827504659863038
4023402,+0*0*3/1+2*5/1+5,1.4827504659863038
8943389,+2*5/1+5+6-5/3,1.4827504659863038
26212331,+4+6-4*6/3-1*4,1.4821240342941373
27768598,+4-6*6/2/4-3-5,1.4792620439826534
28386518,+6-3*3/0-0*5-2,1.4751107982905909
20642681,+1*6+6-5*5-3-3,1.4671797874370205
12990969,+2*5/1+5-5/2-0,1.4593883684080509
2608946,+4+4-1*1-5*5,1.4581300503549401
17340268,+6*6*6-2/0-4/5,1.4542824325124752
1750448,+0*0+4-2*5-5,1.4531155893929395
18732033,+0*0+6-2*5*5-1,1.4522034740106795
28386512,+6-3*3/0-0*4-2,1.4501627895060019
27018494,+4-0*1*4*5*5-5,1.4492170890255434
29222469,+6-5*5-5*5-3-3,1.441627135235399
27661812,+6-2*5*5*5-3-3,1.439858795531105
11322679,+3*5*5/1-3*3/0,1.4396777807201662
27890559,+6-0*4*4-3*3/0,1.4391337320689834
18839110,+0*1+6-1*1/0-2,1.4375104542889827
27473725,+5-1*1/6/6-1*5,1.4344345650407353
28730477,+5-0*5/2-0-2-2,1.432194460873286
18253908,+0*1+6-5*5*5/0,1.4314931598726033
20654458,+2*4+6-3*4-2-2,1.4314596416571772
1201253,+0*1*3+3*4/1+3,1.4286320851489462
3959173,+0*1*3+3*4/1-6,1.4286320851489462
18230522,+2*4+5-2*2*2*2,1.4266151671363574
27459139,+4-0*4/2/3-2*2,1.4262643920226565
19171723,+0/4+5-1*4/0-6,1.4194519625963438
26193934,+3+5-1*5/3-1*3,1.4171856457316834
26189678,+3+4-1*4/3-1*3,1.4171856457316834
20662295,+2*6+6-2*2-3-3,1.408361646593508
1645892,+2*4+6-2*2*5,1.4061347044209338
24343306,+3*6-2*3-2/1-6,1.4037050159796847
23651819,+0*2-2*3*5-0-0,1.402805004324074
22586407,+4*6-4*6*6-5*6,1.4009910568927628
28745317,+6-6*6/4-0-2-2,1.3991911742409897
27458100,+4-0*1/6/6-1*4,1.3984910802088502
20584895,+6/4+6-3/4-3/4,1.3979475349880004
26076959,+3+3-2*3*3-3/0,1.3961225027144444
27954027,+5-0*0/1-1*5/0,1.394784777098045
28222693,+0-0*0/1-0*1-2,1.3924166415241852
17635590,+2*2/3-0/1-2/0,1.3883780874847298
7291745,+3*5/2+5*5-5/2,1.385310492648786
19687828,+5*5+6-2*5-5/2,1.383786159041183
19683292,+5*5+2-2*5-5/2,1.383786159041183
24555896,+5*5-2/0-5/2-6,1.383786159041183
28386505,+6-3*3/0-0*3-1,1.3837288469428262
30722340,-0*0/6/6-0-0-2,1.3832290134870202
31157009,-0*0/4-0*0-2*2,1.3816296725384045
22673231,+4*4-2*3*3-4/2,1.380114743295524
21543223,+0+0+1-0*0-1*1,1.377270332708387
27719072,+6-3*6*6/1-1-3,1.3744090922763081
1653996,+0*0+6-5*5/4,1.3701725390944133
27943144,+4-0*0/1-1*4/0,1.3693367985507527
2834538,+6-3*3/0-0*0,1.3665341204082837
6653662,+0*0*5+5*6-5*5,1.359318345431876
27421837,+1-1*1/4/4-1*1,1.3540896889405698
15633153,+0*5+4+4-5*5-0,1.3503975073219692
18808758,+4*4+4-5*5*5-5,1.3503975073219692
15194925,+2*4+6+6-2*2*4,1.3445127363179807
3994324,+5*5*5/1+1*5*5+5,1.3376807588554387
26593805,+0+4-4*4-0/3-3,1.3311757477709554
22604665,+0*3-0*3*3-0/5,1.3287634608900496
169474,+0+5+5-5*5,1.3280961365916355
