id,CT,GeoNgn
13520537,+4*4+1/0-1*4/6,1.6017568439375345
13520542,+4*4+1/0-1*5/6,1.6017568439375345
3138117,-2*5/4/4-0/4,1.592839121612684
13539064,+5*5+1/0-1*5/6,1.5924507209118968
28395422,+6-6*6/5-0*5-2,1.592335042901766
17655579,+2*6/4-0/4-2/4,1.5849779486188929
17655617,+2*6/4-0/5-2/4,1.578208284160629
24156127,+3*6-2*5-6*6-0,1.5580353013739587
6542092,+0*6*6/5+4-3-5,1.5576970507937002
6581047,+6*6*6/4+4-3-5,1.5576970507937002
31083673,-0*0*4-0/4-2/4,1.54825311593487
31082770,-0*0*3-0/4-2/4,1.54825311593487
24156050,+3*6-2*4-6*6-0,1.5449748330661355
23097260,+1/0-1*3*5-3/6,1.5445596507648471
23096727,+1/0-1*1*1-3/6,1.5445596507648471
20056356,+1/0+6-3*3-4/6,1.5445596507648471
23097266,+1/0-1*3*5-4/6,1.5445596507648471
24741966,+1/0-1*3-3/6-2,1.5445596507648471
24742008,+1/0-1*3-4/6-2,1.5445596507648471
11670656,+1*2*6/5-0/4-2,1.5435217499493064
31428199,-1*2/4-0/4-2/4,1.5416551278781272
3106954,-2*2*3/0-0/5,1.5416551278781272
3136605,-2*3/1/4-0/4,1.5416551278781272
31130629,-2*3*5-0/4-2/4,1.5416551278781272
31113472,-1*2*5-0/4-2/4,1.5416551278781272
2685179,+0+4-0/5-3-5,1.5350051971212835
11670362,+1*2*6/4-0/4-2,1.5347927673820967
30083530,-0*0/5/5-2*2/1,1.5347927673820967
29816793,-2*3*4/1/5-0/4,1.5347927673820967
29479195,+4-1/5-1/5-3-5,1.53020747154959
17180743,+0*1*6-2*2-0/5,1.5294727651668347
25212437,+5/0-2/0-4/6-3,1.5248891280591745
20520106,+5/0+1-2/0-3/6,1.5248891280591745
3107374,-2*2*5/0-0/5,1.5247819222349575
26557074,+4+6-2*3-3*3-5,1.518902866024075
26446728,+0+4-0*1/5-3-5,1.5177938248482457
29479300,+4-1/5-2/4-3-5,1.516710887464641
18961746,+3*6+5-1*2/0-4,1.5148940402696522
5891776,+3*3*6/0/5-5/6,1.514301567178755
27652111,+4-1*3*6*6-3-5,1.514019857686279
19362564,+5/4+4-3*5/4-5,1.5058118619606697
30544064,-0*1/5/5-2/3-2,1.5053033143057906
26894835,+4+4-2*3-3-5-5,1.5021405241584003
12507173,+3*5*6+5-5*5-2,1.4979122032701435
23799721,+3*6-2*2/0-0-6,1.4969288406775623
27700138,+4-1*6*6/2-3-5,1.4949862264848637
28221662,+6-4*6*6-6/3-2,1.4945632398640132
18823354,+5*6+5-4*5*5-2,1.493281803654789
10687376,+0*6+4+4+5-5*5,1.4835740672001139
17151418,+1*5*6-3*3-5*6,1.4817166448899697
17150604,+1*4*6-3*3-4*6,1.4817166448899697
16470918,+4+4+6+6-5*5-1,1.474610092126174
27474159,+5-1*2/6/6-5*5,1.4723984730216164
11602777,+3*3*6/4-1*2-2,1.471876582217278
29395400,+6-6*6-6/3-2-2,1.4715388401440832
12767670,+2*5/1+2-2*2-4,1.4673369788254287
12767503,+2*5/1+1-2*2-5,1.4673369788254287
17936926,+2*5/1-2*3-5-6,1.4673369788254287
17936896,+2*5/1-2*2-4-6,1.4673369788254287
12767677,+2*5/1+2-2*3-5,1.4673369788254287
23504986,+3/0-3*4/0-4/6,1.461012542028642
21573662,+4+4+5-5*5-6*6,1.4578986366062818
27276031,+5-2*5*5/3-5*5,1.453193687672781
25330010,+3*6-1*2-2-2-6,1.452250815581298
11963008,+0*1*1*6-0-2-2,1.4498280382666922
170930,+4+5+5-5*5,1.4488805402170335
28386525,+6-3*3/0-0*6-3,1.4485979376766518
29053352,+6-1*3-1/3-3/1,1.447770165517116
28394379,+6-5*6/3-6*6-3,1.4456219291154397
2971949,+5-5*5-2/4-2,1.4396973108712052
2782755,+0-0*0*5-0/4,1.439311117052301
30625020,-3*3/6/6-4/6-3,1.4385812943152654
12517757,+5*5*6+5-5*5-2,1.4367328128582517
2927429,+5-2*5-5*5-2,1.4336494381369649
17493886,+2*4/1-2*2-6/1,1.4327285272629977
29804561,-1*1*5/6/6-5/6,1.4301151413053332
21846966,+4*6-2*4*4*4*4,1.4296228079235518
17270283,+0*0*6-0/1-0/1,1.4275060582607646
21668525,+4+5+5-5*5-1/4,1.4274060601292287
21574124,+4+5+5-0*1-5*5,1.4274060601292287
26490586,+4+4-2*4/1-1-3,1.423571917053227
2794364,+3-1*1*2-3/2,1.4204727598207232
2301072,+2*4/1+2/1+1+4,1.4192911716600256
23766955,+2*2-2*3/0-0-0,1.4143836749941912
27497071,+0-0*1/3/4-3/1,1.4095815563230099
29803925,-1*1*4/6/6-4/6,1.4076977538251891
27951708,+4-2*4/3-3*3/4,1.404488572005937
26745283,+0+1-2/3-3/2-3,1.4023474748320202
2102496,+6/2-6*6/2/2,1.4007899370310246
16752390,+5*5/0-1*5/0/0,1.3972923511458089
21486269,+0+0+1-1*1/5-3,1.3945401153035717
26099584,+5+5-0*0*5-0/6,1.3937159060997348
27994543,+1-1*1*1-0*0-2,1.3896839957235925
28751877,+1-1*1-1*6-6*6,1.3888246959430295
2637717,+4+4-2*4-4/2,1.388379198049018
25979631,+2+3-2*2*2-3*3,1.3868616114296095
14954468,+0*2+2*6-0-0-2,1.3850473313349245
21664111,+4+4+4-0*4-0/6,1.3817984036464406
26189678,+3+4-1*4/3-1*3,1.3804871382363544
26193934,+3+5-1*5/3-1*3,1.3804871382363544
