CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
+0+4+4-3-3-5-5,1.5908671700675059,0.9511878912570239,1.4682466515625077,0.8366223707382028,0.7011685573235795,8.89295627490523,1.025052192066806,1.033707865168539,0.9077890238120268,24.048381230149495,1.6247992675925658,1.08272053973754,0.9077890238120268,24.048381230149495,1.5301970909824032,1.082000680503573,0.924856420719729,0.22079691732286605,0.9242615388032103,0.048350712404361125,1.2471505121404005,24.048381230149495,1.5056499198218551,2.040831541250828,1.4168273472297415,1.3798592747007932,1.06,1.06,0.9181714344444467,9.538904448604928,1.4863622227718558,1.4147265223659975,1.4314129425398558,1.3019010508596536,1.06,1.06,1.2168816066002837,24.048381230149495,1.4474227960328478,2.040831541250828,1.3818222372594862,1.3798592747007932,1.06,1.06,1.2168816066002837,24.048381230149495,1.4474227960328478,2.040831541250828,1.3818222372594862,1.3798592747007932,1.06,1.06
+3*6-2*3/0-2-6,1.5734528044306302,1.096858306211126,1.3875939529007213,1.051405911008433,0.045228773255392464,0.35046954648281725,1.088888888888889,0.8589743589743589,-0.03315951962580477,0.9098833987639355,1.5734528044306302,1.1792490336387513,-0.03315951962580477,0.9098833987639355,1.3875939529007213,1.146983208814681,0.7694456083133118,0.385072474403847,0.6720053046631105,0.24451789087307177,0.011184896309883341,1.851179434901968,1.4667098951337703,2.1176760660874185,1.311314267286576,1.4371238044914165,1.088888888888889,1.06,-0.010150235658671493,0.25315094940285593,1.5570782881542033,1.251853885370036,1.38597761076309,1.184676690918471,1.088888888888889,1.06,0.14335713237889247,7053.530692141138,1.322134143585163,1.06,1.2541812912789574,1.06,1.06,1.06,0.14335713237889247,7053.530692141138,1.322134143585163,1.06,1.2541812912789574,1.06,1.06,1.06
+3*6-2*3/0/1-6,1.5729517096202477,1.0000414868628638,1.348070899605833,0.977667544412493,0.005259318097214,0.3442585992619272,1.088888888888889,0.8589743589743589,-0.039151472597005195,1.099439345622229,1.6240884836964526,1.0751597998608746,-0.039151472597005195,7112.654417436061,1.4152358505648543,1.06,0.8220305216589587,0.2858537983883284,0.8095854736508563,0.20806484364611355,0.013543440425650699,3.846920778986158,1.501629573177347,2.1176760660874185,1.3326790333278449,1.4371238044914165,1.06,1.06,-0.010150235658671493,0.501529611102227,1.5570782881542033,1.3070066968260694,1.38597761076309,1.291085388867701,1.088888888888889,1.06,0.23225937249048828,7112.654417436061,1.2306403992360981,1.06,1.1841487033476428,1.06,1.06,1.06,0.23225937249048828,7112.654417436061,1.2306403992360981,1.06,1.1841487033476428,1.06,1.06,1.06
+4-1*2/3/4-3-5,1.5709371835512702,1.8335448058579271,1.4138154884063865,1.650410823026562,0.2672247097747631,3.9300731038366563,0.9496855345911948,1.033707865168539,0.09252674683379297,4.75112678071397,1.5709371835512702,1.8335448058579271,0.3371781441010633,4.75112678071397,1.4746082551896273,1.650410823026562,0.8551214567156479,0.7480981218611715,0.838695242191702,0.7154461433934991,0.37750440842041666,6.474941116270145,1.422649450566759,2.575125004039744,1.353780103778775,1.7834453831218047,1.06,1.06,0.3371781441010633,5.003277954040213,1.4214330630878196,2.031505538395444,1.3609080480060713,1.7721155122014103,1.06,1.06,0.12341856008999563,5.872814424497496,1.2765147430344395,2.4179135264606924,1.2210401239168784,1.7610232877324696,1.2993187691990074,1.06,0.4289090945656229,7.500788416635979,1.3759150967188516,2.040831541250828,1.3136592939894929,1.3798592747007932,1.06,1.06
+4-2*2/3/4-3-5,1.5709371835512702,1.8335448058579271,1.4138154884063865,1.650410823026562,0.2678984919279537,3.9316299923670317,0.9496855345911948,1.033707865168539,0.08561416713610598,4.752922176953034,1.5709371835512702,1.8335448058579271,0.08561416713610598,4.752922176953034,1.4138154884063865,1.650410823026562,0.8551214567156479,0.7480981218611715,0.838695242191702,0.7154461433934991,0.44578730245937725,6.421746034974763,1.417824785508978,2.575125004039744,1.3388962488744716,1.7834453831218047,1.06,1.06,0.1279071760963737,5.003277933870178,1.3744650846725859,2.031505538395444,1.321615826269187,1.7721155122014103,0.9092458142576767,1.06,0.1209349576812226,5.858463720505175,1.2703146152168463,2.4179135264606924,1.2140910127733866,1.7610232877324696,1.2819185865845264,1.06,0.4134974435692085,7.500788416635979,1.3759150967188516,2.040831541250828,1.3136592939894929,1.3798592747007932,1.06,1.06
+0*0*2/4+4-3-5,1.5669416621100072,1.1562517347651236,1.439648797398348,1.0961821618075207,0.2701308368022697,15.14021957885015,0.9496855345911948,5e-324,0.37724451453192553,5.262147200552144,1.6254236755180764,1.2051469343155208,0.37724451453192553,5.262147200552144,1.5306624680201462,1.149741838792532,0.919551873716921,0.2514979902333192,0.9189641828063554,0.14298415088832256,0.49961144109611344,5.262147200552144,1.4920045904830743,2.234576601564654,1.4168498669834135,1.8357129915362802,1.06,5e-324,0.37724451453192553,5.262147200552144,1.490144216328237,2.031505538395444,1.4332633485198965,1.7721155122014103,1.06,5e-324,0.32998148171171,895.4641299233235,1.3181501103513804,1.06,1.2465677948759388,1.06,1.06,1.06,0.49368216099707496,895.4641299233235,1.4717173776106738,1.06,1.397041054717515,1.06,1.06,1.06
+4-1*5-0/5-5/2,1.558778998299461,1.3703275788311624,1.4928298289189907,1.351464809739197,2.3977555884321076,7.357326735521672,0.89,1.606837606837607,0.0249578384233613,10.604424679029824,1.560257225476289,1.3703275788311624,0.0249578384233613,10.604424679029824,1.4948348010486507,1.351464809739197,0.8472340126675548,0.7428659659600869,0.8257930317773055,0.7138913623990877,1.2406889784379624,9.804877785224223,1.3090474420994753,1.3967203799588934,1.249238505559508,1.3838118441271194,0.7575000000000001,1.06,0.7131261281147463,7.139361212322914,1.3416201725625263,1.414866148830587,1.23535540069946,1.3976224317139159,1.891213389121339,1.06,2.374937166518648,7.276570385345609,1.1522114940259134,1.3355559673378223,1.1319910651402054,1.3172092903439496,0.89,1.606837606837607,2.374937166518648,9.804877785224223,1.1522114940259134,1.3967203799588934,1.1319910651402054,1.3838118441271194,0.89,1.06
+2*4/1+2/5+1+5,1.5368635438479707,0.9585443044394745,1.4824166083442125,0.947837174731602,92.18426576346916,33883.54064454972,1.173913043478261,0.9495530012771393,20.920319339243978,12526.680000386594,1.5368635438479707,1.06,20.920319339243978,12526.680000386594,1.4824166083442125,1.06,0.8730240565767774,0.2529640515292536,0.8594044437180155,0.17548324743260482,112.20584863175756,3436.0695548325475,1.3663858644854234,1.1458837507210655,1.3235744722406433,1.1392131916874264,1.06,1.1636151272099329,108.43766796514329,4446.74992951908,1.3183251086503518,1.0997842416026202,1.280581734015656,1.0831249042635696,1.06,1.06,174.80631064664973,7054.257818009061,1.152252018010407,1.0175165900868794,1.13483717007471,1.0127868303549006,1.06,1.086884123956955,174.80631064664973,12526.680000386594,1.152252018010407,1.06,1.13483717007471,1.06,1.06,1.086884123956955
+2*4/1+2/5+5+6,1.5368635438479707,0.9585443044394745,1.4824166083442125,0.947837174731602,91.39471340829147,33883.67568827559,1.173913043478261,0.9495530012771393,20.62944813524008,12526.791702509801,1.5368635438479707,1.06,20.62944813524008,12526.791702509801,1.4824166083442125,1.06,0.8730240565767774,0.2529640515292536,0.8594044437180155,0.17548324743260482,111.9106252038902,3436.090349925847,1.3663858644854234,1.1458837507210655,1.3235744722406433,1.1392131916874264,1.06,1.1636151272099329,111.9106252038902,4446.852554562796,1.2921599159617527,1.0997842416026202,1.2563244189955773,1.0831249042635696,1.06,1.06,174.47794086343504,7054.326287203483,1.152252018010407,1.0175165900868794,1.13483717007471,1.0127868303549006,1.06,1.086884123956955,174.47794086343504,12526.791702509801,1.152252018010407,1.06,1.13483717007471,1.06,1.06,1.086884123956955
+0*2*2/4+2*4/1+4,1.5334136504592084,0.9585443044394745,1.4786874755471016,0.947837174731602,86.5579395246732,33883.67221852519,1.128205128205128,0.9495530012771393,20.696218526337898,12526.774312170484,1.5334136504592084,1.06,20.696218526337898,12526.774312170484,1.4786874755471016,1.06,0.8692194328726373,0.2529640515292536,0.8553933241431896,0.17548324743260482,112.06309930064359,3436.0642585844744,1.372851356245826,1.1458837507210655,1.3316102429600878,1.1392131916874264,1.06,1.1636151272099329,112.06309930064359,4449.291645826712,1.2921599159617527,1.0997842416026202,1.2563244189955773,1.0831249042635696,1.06,1.06,103.46230984455252,7053.972124859928,1.3308596094721303,1.0175165900868794,1.3057810142261246,1.0127868303549006,1.06,1.086884123956955,118.70835551435226,12526.774312170484,1.289071917441555,1.06,1.2478049708642125,1.06,1.06,1.086884123956955
