id,CT,GeoNgn2
28155486,+3-3*4*5-2/3-0,1.618309243566429
2956569,+3-3*5-2/3-0,1.6047831185345827
28298240,+3-0*1/4-3*5-2,1.5911831537920256
29341902,+4-4*5-2/0-0-0,1.5891198313058421
22663265,+3*4-3*4*5-2/3,1.583937704948221
28799088,+1-1*1-6*6-1/3,1.5835414799804086
19621030,+2*6+3-3*5-2/3,1.5781033965649378
20700418,+6*6+3-3*5-0-2,1.5735126466882883
20688523,+4*6+3-3*5-2-6,1.5728099087135454
28296896,+3-0*0/1-3*5-2,1.5712097132281362
25815114,+4+5-4*5*5*5-6,1.5692671901758317
27860696,+3-3*5*5-2*2/5,1.563985215929626
28031570,+3-5*5*5-1*5-2,1.5632202969518347
28031066,+3-4*5*5-1*5-2,1.5632202969518347
27833468,+1-2*3*3-1*1/3,1.5612255209650423
26087705,+3+6-2*4*4-2/0,1.5564535508606505
26087747,+3+6-2*4*5-2/0,1.5564535508606505
28250881,+1-0*3/6-4*5-2,1.5561262004599445
28250875,+1-0*3/6-4*4-2,1.5561262004599445
29118360,+3-2/0-2/6-5/1,1.5560084809210122
17644809,+2*4/1-0/6-1/0,1.547251423566592
22661624,+3*4-1*1*3-1/6,1.5455292729495884
28453578,+1-2*5/0-1/5-0,1.5410078030480907
28452318,+1-2*4/0-1/5-0,1.5410078030480907
20742852,+0*6+4-0/1-3-5,1.5360971465675095
30084859,-0*1/3/4-2*3/1,1.5337914815445988
21569112,+3+3+3-2*4-3*3,1.5337139447105115
28567426,+4-3*3/1-0/1-5,1.5333222221753398
29814673,-2*2*4/6/6-4/1,1.532799109985975
29817403,-2*3*5/6/6-4/1,1.532799109985975
29816983,-2*3*4/6/6-4/1,1.532799109985975
29418864,+1-0/6-2/5-5-5,1.5306202152296513
17532781,+3*6/4-2*4-6/4,1.5246687761710356
29807071,-1*2*5/6/6-4/1,1.5237433887632141
19621029,+2*6+3-3*5-2/1,1.523587626801281
25881459,+0+1-2*4/6/6-5,1.5235203376214308
2725916,+3-1*3*4*4-2,1.5219509412010686
25885933,+0+3-2*3/0/0-4,1.5207734911287032
27033827,+1-1*1*5*5/4-2,1.5181394405709863
19525219,+0*5+3-1*1-0/6,1.5162567138837664
19517281,+0*4+3-1*1-0/6,1.513604736118084
16595951,+3*3*6-1*2/6/6,1.5109171467597746
26992274,+1-1*2*3/0/0/0,1.5103385671900709
22538974,+0*4-0*0*3-0*5,1.5098738846901634
21569099,+3+3+3-2*3-3*3,1.5096291614163455
26412156,+1+4-1*1*4-3-5,1.5094089547015463
27096541,+4-5*5*5/4/4-3,1.5056598486026913
3314213,-6*6/0-0/4-0,1.5012804616948054
18791588,+2*6+5-4*4*5-0,1.5009525686379313
26573698,+0+1-1*4-2/1-2,1.4991081804245543
27456587,+3-6*6/0/2-1*3,1.4968923468249409
27119130,+1-1*1*5*5-1*2,1.4950554215542977
25366630,+0*6-0/4-2-2-2,1.4939495097359035
22839404,+0*5-4*6/1-0/6,1.4937012273895702
13028226,+3*5/1+6-4/1-3,1.491931305969599
27456559,+3-6*6/0/1-1*3,1.488472419412776
26992064,+1-1*1*2/0/0/0,1.4883879680590222
24427666,+0*5-0/6-0/6-2,1.4880055388893647
27935106,+3-0*4/1-1*1/0,1.4876326132856192
21461405,+0+4+6-0*3*3-5,1.4843533658838326
27266739,+4-4*4*4/1-0*1,1.484291246591012
30368035,-1*1*2/4-4/1-2,1.4838755355976783
30874968,-0*0/5-0*0/5-2,1.4828228341344012
26997934,+3-2*3*3/0/0/0,1.4824095973355667
19488550,+0*0+5-5*5-0/3,1.4813384938050222
22608530,+0*4-0*5*6-0/6,1.4806271512140585
22612058,+0*5-0*5*6-0/6,1.4806271512140585
16740714,+3*5/1-0*3/1/1,1.480090608653957
13240897,+0*4+0*4-0*1/6,1.4794258467328718
13244425,+0*5+0*5-0*1/6,1.4794258467328718
11394604,+1*3/5/6-5*5/6,1.4791057651743915
17668725,+3*5/1-3/1-5/1,1.4759527620934905
19702932,+6*6+5-5*5-2/5,1.4737904563764654
27865848,+4-0*4*4-2*4/0,1.4732976683516004
2723166,+1-1*1*1*3-0,1.4716405683992406
18771675,+1*6+1-1*1*5-2,1.4706486526675475
21475473,+2+4+6-2*2*2-5,1.4665836534217722
25781719,+3+6-2*3*3/0/0,1.466010817370333
27520883,+1-1*2/0/0-2/6,1.4654629128063885
20481757,+3/6+5-5/6-5/6,1.4650427036900766
20480896,+3/6+4-5/6-5/6,1.4650427036900766
17283545,+0*3*5-3/0-5/6,1.4644753292803212
18754012,+1*1+1-1*1*1-3,1.463309691784776
17282636,+0*3*4-3/0-4/6,1.461965664546013
26037188,+1+1-1*1*4-3/4,1.4603649702078816
16657219,+1*5/0-4*4*5/0,1.454784548641591
7714196,+4*4/3+3/6-4/6,1.451986228833772
29549074,+5-5*5-2-2-2-2,1.444148635893052
28872763,+5-2*4-5*5-2/4,1.444148635893052
10685081,+0*5+4+4+4-5*5,1.4396521431695644
16470666,+4+4+5+5-5*5-1,1.434115469934632
28045492,+4-4*6*6-1*1-5,1.4332109905029733
28214102,+6-2*2*2-6/3-2,1.4281303324549715
3550862,+3*6*6*6+3*6*6+0,1.426083282358466
22040621,+3*6-3*3*6*6-6,1.4231364035339693
18207282,+0*0+0-0*0*0*0,1.422346708942267
21558419,+1+2+6-1*1-2*2,1.4197843912454653
22184642,+2*6-6*6/4/4-2,1.4185751882026523
26203803,+4+4-4*4/3-4*4,1.4092104983634295
2029845,+0*2-0*0*2*2,1.4089086818224839
