id,CT,GeoNgn2
28297568,+3-0*0/5-3*5-2,1.6924442088828766
29341902,+4-4*5-2/0-0-0,1.6859063494350066
28029674,+3-3*4*5-0*3-2,1.6834295573575992
12774935,+2*6/3+3-3*5-2,1.6806438594352873
20597203,+0*1+3-3*5-0-2,1.676890393545909
18960168,+3*6+3-2*3/0-5,1.6705858402368523
26548896,+3+5-3*5-5*5-2,1.6675133127740305
27448058,+3-1*2/3/4-3*5,1.6675133127740305
28030082,+3-3*5*5-2*4-2,1.6675133127740305
28031570,+3-5*5*5-1*5-2,1.6675133127740305
20853356,+4*6+3-2/0-5-5,1.6586314534196587
28304286,+3-1*2/4-3*5-0,1.6571491669953258
20688523,+4*6+3-3*5-2-6,1.6414813944187558
28799088,+1-1*1-6*6-1/3,1.6386519997288147
12436247,+0*1*6+3-3*5-2,1.6319854504898288
27833468,+1-2*3*3-1*1/3,1.6228621063406437
27131512,+3-1*3*4*4-2*3,1.619152761540432
26087705,+3+6-2*4*4-2/0,1.6174065387745273
28250875,+1-0*3/6-4*4-2,1.6170323557986144
28250881,+1-0*3/6-4*5-2,1.6170323557986144
29341923,+4-4*5-2/1-0-0,1.6088521387375025
28307648,+3-1*6/3-3*5-2,1.6065081654338718
26095587,+4+5-4*5*5-6/4,1.601108739498701
28453578,+1-2*5/0-1/5-0,1.5997596370777991
26573698,+0+1-1*4-2/1-2,1.5924410981569137
21569112,+3+3+3-2*4-3*3,1.5914324759441367
29078622,+0-2/0-2/6-4/1,1.5908563240348634
1007197,+0*1/4+4-3-5,1.5888321289072245
29418864,+1-0/6-2/5-5-5,1.5879016603134524
22538974,+0*4-0*0*3-0*5,1.5832382692255111
20742852,+0*6+4-0/1-3-5,1.582716773965612
25881459,+0+1-2*4/6/6-5,1.5798014027565417
25793042,+0+3-2*3*3*3-4,1.578233804359887
32224251,-1*2-2/3-4/1-0,1.5760241556161863
18815092,+4*6+3-1*4*5-2,1.5743745349843081
27033827,+1-1*1*5*5/4-2,1.5736648450129018
3138223,-2*5/6/6-4/1,1.5716567648414943
29814043,-2*2*3/6/6-4/1,1.5716567648414943
29818453,-2*4*4/6/6-4/1,1.5716567648414943
17532781,+3*6/4-2*4-6/4,1.5711580103977407
26992274,+1-1*2*3/0/0/0,1.571104985288282
2007696,+3+3+3-3*3-2,1.563963875901289
26412156,+1+4-1*1*4-3-5,1.5637129320745133
31106648,-1*1*2-2/4-4/1,1.5630270370593065
26992064,+1-1*1*2/0/0/0,1.5563479413177905
17673064,+3*6/1-2/0-6/1,1.551452490479739
27119130,+1-1*1*5*5-1*2,1.54736380863531
25366630,+0*6-0/4-2-2-2,1.5461047897037752
22839404,+0*5-4*6/1-0/6,1.5458221469065223
30758591,-6*6/1/5-2-2-2,1.5431551322051305
24427666,+0*5-0/6-0/6-2,1.5393395084996857
27935106,+3-0*4/1-1*1/0,1.5389151437395334
27836390,+1-4*4*4-0*3/6,1.5349114363744807
27118680,+1-1*1*1*3-0*6,1.5346758713136968
22631714,+1*4-4*4*4-0/6,1.533620938757954
30874968,-0*0/5-0*0/5-2,1.5334428862820064
30873960,-0*0/4-0*0/4-2,1.5334428862820064
8636269,+0*0*5+4+4-2/6,1.5326475764452017
17275406,+0*1*5-3/0-3/6,1.5322167126878403
22612058,+0*5-0*5*6-0/6,1.530945369130963
22608446,+0*4-0*4*6-0/6,1.530945369130963
22611974,+0*5-0*4*6-0/6,1.530945369130963
27096541,+4-5*5*5/4/4-3,1.5299833287522713
13244425,+0*5+0*5-0*1/6,1.5295790814775985
26988325,+6-3*3*6*6/2/2,1.5231902801005792
19702932,+6*6+5-5*5-2/5,1.5231712275139222
2723166,+1-1*1*1*3-0,1.5207272916063557
26997934,+3-2*3*3/0/0/0,1.519829404454751
30577221,-1*2/6/6-0/6-0,1.5160114369346407
21475473,+2+4+6-2*2*2-5,1.5156085543876547
26037231,+1+1-1*1*5-3/5,1.5140464340414848
30605447,-2*3/6/6-0/6-2,1.510628499561789
17282636,+0*3*4-3/0-4/6,1.5097335413233293
17282642,+0*3*4-3/0-5/6,1.5097335413233293
17283545,+0*3*5-3/0-5/6,1.5097335413233293
26037188,+1+1-1*1*4-3/4,1.507915346399329
2704767,+1-1*1*1*1*3,1.5058730984575475
28628894,+6-1*2/3-6/3-2,1.502372967649403
19652382,+3*6+3-1*3-5/4,1.4977735933860725
30533767,-6*6/4/4-2*2-2,1.4967597147612555
19122748,+5/4+4-5*5*5-2,1.4915532257481248
3026871,+5-5*5-2-2-2,1.4895068241530676
16470666,+4+4+5+5-5*5-1,1.4850335404305584
10685081,+0*5+4+4+4-5*5,1.4844061274110445
350376,+1*1*1*6/3/4+1*6,1.4823133368328245
27266739,+4-4*4*4/1-0*1,1.4739446891947585
19488550,+0*0+5-5*5-0/3,1.4707196231882271
26998245,+3-3*3*3/4/6/6,1.4705397608867015
20279327,+5/4+4-5*5-0/1,1.4703587927346302
28344095,+4-5*5/4-3*3-6,1.4687043158543496
11394604,+1*3/5/6-5*5/6,1.4682814112133975
27935721,+3-0*5/1-1*1/0,1.4676452314434922
22037682,+3*4-3*4*4*4-0,1.4647249464902279
15245509,+0*5+1+5-5*5/0,1.4615141337711524
22946990,+4*5-1*1/6-4/6,1.4562428839616754
15719868,+6*6+3+3-3*3-0,1.455822283398498
26998248,+3-3*3*3/5/6/6,1.4555455953052716
32279033,-2*6-0/6-2/0-0,1.4543215135687324
26203803,+4+4-4*4/3-4*4,1.4540244710325159
11168702,+4+4+4+4+4-5*5,1.4430882627424486
