id,CT,GeoPro
24530584,+3*6-2/0-4/5-6,1.5715261149584734
12501450,+3*3*6+6-4*5-3,1.543493955031123
9803144,+3*6+6/3+0-4/3,1.5429644685775545
6001563,+2*2*5*6+6-3*5,1.5318521135715684
17754865,+2*5*6-1*2-3-6,1.5283671482240053
6001562,+2*2*5*6+6-3*4,1.5230962147982625
12439043,+0*2*3+6-1*4-2,1.515034569690716
20654458,+2*4+6-3*4-2-2,1.5096371264156117
9695473,+1*6+6/5+6-3/5,1.5045399997251894
18839699,+0*1+6-5*5/4-3,1.5015656382363407
14446007,+3*6+6/5-3/5-0,1.4912864401185237
28355869,+5-1*5/0-3*6-1,1.4901073768990125
28355870,+5-1*5/0-3*6-2,1.4873389634648584
12489611,+2*3*6+6-1*4-2,1.4847265171523754
17340268,+6*6*6-2/0-4/5,1.4766341069671696
28393407,+6-5*5/4-0*5-3,1.4762479632728305
28570774,+4-3*5/4-2/0-5,1.4759527639569738
18735641,+0*1+6-4*4*4-3,1.4739210168245287
24530486,+3*6-2/0-2/3-6,1.4729764215802197
26448191,+0+4-3*5/4-1-5,1.4680587522978517
20598977,+0*1+6-4*5-2-3,1.4643133299169662
26156711,+1+5-1*4/0-5*6,1.4616290334216382
26478028,+2+6-2*2/0-3-5,1.4600057344462096
9041286,+2*2*6+6+6-1-2,1.4590504028613052
24343593,+3*6-2*4-2/0-6,1.456963345957812
994069,+0*0*2*6/4+6*6*6,1.4564578662494085
20851097,+4*6+0-5/1-2-2,1.456002728657842
4175037,+2*2*6+3*6+6-3,1.4520786105062482
29478523,+4-1/4-1/5-3-5,1.4500889922145632
12982038,+2*4/1+5-2/1-3,1.449449193636697
27190506,+4-1*1*1*4-4/2,1.4438648792171156
27190548,+4-1*1*1*5-4/2,1.4438648792171156
1124783,+3*6+6/5-3/5,1.442936196233944
16728651,+2*4/1-0*0/1/1,1.4415064225408427
28394438,+6-5*6/4-1*3-2,1.4411418107606915
12981800,+2*4/1+4-2/4-6,1.440360039022362
8937491,+2*4/1+5+6-2/4,1.440360039022362
8936609,+2*4/1+0+5-2/4,1.440360039022362
9045447,+2*5*6+6+6-1-5,1.436655435398247
7904816,+2*5*6+6/5-2-4,1.4360329166741856
4174659,+2*2*6+1*6+6-3,1.4351531915582694
23641551,+6/5-1*3/4-3/5,1.4346183342632506
18211653,+0*2+6-2*5*5*5,1.4286724300688862
27716378,+6-1*5*5/0-0-2,1.4267072108280099
8936777,+2*4/1+1+3-2/4,1.4261339576898702
4091314,+0*3*3/1+2*5/1+3,1.4258134576678612
9037593,+1*4*6+6+6-1-5,1.4207709963392783
4091315,+0*3*3/1+2*5/1+4,1.4199286842193215
28976981,+3-1*2-3/5-5/2,1.4159887061741805
3426109,+6*6*6/5+2*6-6,1.414570368084997
264651,+4-3*5/4-5,1.4126405470615917
21388113,+0+3+4-1*1*4/2,1.4122588507899219
27763789,+4-2*2/5/5-3-5,1.4111985717747824
18295310,+2*6+0-1*6*6/4,1.4082363161447313
9204252,+0*0+4*6+0-5/4,1.408215302330393
22651355,+2*5-1*2*5-5/2,1.4066671255561907
3963176,+0*2*2+2*5/1-5,1.4065514953497102
2581837,+0+4-3*5/4-5,1.40552637225265
2142265,+3*6-1*2/0-6,1.405309674203599
5996270,+1*3*4*6+6-3*4,1.4042602380525524
7291745,+3*5/2+5*5-5/2,1.4033797910376666
27886337,+5-4*5*5-5*5/4,1.4030544168806445
16878478,+3*3*6-3*3/1-6,1.4006562963058369
28072947,+6-4*4*4-3*4-3,1.399496791040511
64492,+0*2*6+6-0,1.3982964632927768
26710599,+4+5-4*5-5/4-2,1.3910648596048751
17045407,+1*6/0-1*2/0-6,1.3878941814503138
26202210,+4+4-1*5/4-5*5,1.3850607474907795
676675,+0*1*3*6*6*6+6+6,1.381546334018068
28723654,+4-1*4/0-0-6-6,1.3811101336766969
3550504,+3*6*6*6+0*3*6+6,1.3803098795534097
5299106,+0*0+0*0+6+6-5,1.3794723991786153
27228805,+1-1*2*3/0-1*1,1.3789278688501991
20599769,+0*2+1-1*1-2-2,1.3773914877681461
1589433,+1*6/5+0*0+5*6,1.3771551377310667
18255400,+0*2+3-3*3*3/2,1.376654952729256
1001501,+2*2*6+6-2-2,1.376483702944954
11617591,+6*6*6/0-4*6-4,1.3733051686427384
26431972,+4+6-4*4*5-5-5,1.371277451700981
2916718,+1-1*1-1*2-2,1.368879580790496
2916754,+1-1*1-2*3-2,1.368879580790496
3769713,+0*0*1*6+6+6-0,1.3675798909169068
5915078,+5*5*6*6*6-6-6,1.3664688054432215
26909615,+0+4-5/4-2-2-5,1.3659433649149004
668471,+0*0*0*0*6*6+6+6,1.365367738268847
26496391,+4+6-6*6/4-1-1,1.3628840330112064
28553613,+4-1*1/4-1/3-3,1.362426645081912
27100372,+5-1*5*5/0/4-0,1.3610805964448423
3146123,+3*5*5/1+5*5*5/3,1.3582838909458363
30581949,-1*4/0/0-1/3-3,1.3535746328762994
27092225,+4-1*1*1/0/4-1,1.3512849845422252
9038517,+1*5*6+6+6-1-5,1.3468695619614581
5914826,+4*4*6*6*6-6-6,1.3432613146523216
436386,+3*3*6*6*6-6,1.3422993940898418
22407052,+0/5-0*0/5/5-1,1.3399075244835608
19683292,+5*5+2-2*5-5/2,1.3394156144413971
19681024,+5*5+0-2*5-5/2,1.3394156144413971
436730,+0*0*0*2/4-0,1.3339313676206577
11322679,+3*5*5/1-3*3/0,1.3332291305739157
2105453,+0*2-2*3*4-0,1.3329602070732578
