id,CT,GeoNgn2
16744503,+3*6/5-1*2/5/5,1.6677536604135066
23696565,+3*6-2*4*4-0-2,1.6502560578939571
26765808,+0+6-0/3-2/0-2,1.6427326410500322
22109644,+3*6-4*4*4/3-2,1.6240037698872771
24155980,+3*6-2*4-2*5-0,1.6197910704984135
24156057,+3*6-2*5-2*5-0,1.6197910704984135
18904602,+1*6+3-2*3/0-5,1.6161789821472232
16799528,+3*3*6-4*5*5-2,1.6150516674780742
28024062,+3-1*2*3-3*5-0,1.614655946592762
27801986,+3-2*3*3-3*5*5,1.6132748322258037
27833468,+1-2*3*3-1*1/3,1.611756795409103
32222972,-1*2-1/3-4/1-2,1.6103943504779523
32273540,-2*5-1/3-4/1-2,1.6103943504779523
13127300,+3*3*6+6-3-5-5,1.610015578590009
16799549,+3*3*6-5*5*5-2,1.6081024611037753
615523,+1*5*6+0+6-4,1.6064155371240791
27183226,+3-1*3*4*4-2/0,1.6058653743906888
6072808,+4*6*6*6+6-5/3,1.603294234368826
31222066,-0*0/6-2*6-2/0,1.6004980878701272
2628505,+2+3-3*5-2/0,1.5948835306567035
12116807,+0*2*6+6-0*5/4,1.589250287126184
28392428,+6-4*6/3-1*4-2,1.5844039852197462
28394276,+6-5*6/3-1*4-2,1.5844039852197462
26081363,+3+4-4*4*5-2/0,1.5841997507039676
22886315,+2*2-2*2/0-0/3,1.583566242135002
26033851,+0+6-1*2*4-0/3,1.5831635637237966
3168994,+0*1*2*6/3+6-0,1.5827912522569532
15227179,+0*0+6+6-0*5/3,1.581958834881151
22040132,+3*6-1*2*4*5-0,1.5802341988263517
2960453,+2*6*6*6+6*6*6/5,1.5796043101188633
7299045,+3*6/5+0*3-4/0,1.5747140356315055
2717255,+3-1*1*2/0/3,1.5736028562890816
28149178,+3-1*4*5-2/0-5,1.5729830877311195
10798719,+2*6+6+6+6-5/4,1.5725263888234202
4860400,+2*6*6*6+0*6/5+6,1.5673878981057598
26022689,+0+3-0*4*4-2/0,1.5612508321413143
27132389,+3-2*3*3*3-4*5,1.5607429088634197
13222994,+3*6+3*6-1*3*5,1.558310242334008
9803390,+3*6+6/3+6-4/3,1.5578515590372515
30606035,-2*4/0/1-0/6-2,1.5557250494485269
30610445,-2*5/0/1-0/6-2,1.55293876515741
27183353,+3-1*3*5*5-2/1,1.5527155211375712
2144793,+1*6/5+2*6+6+6,1.54995418794338
19680264,+4*6+6-5*6-4/5,1.5478590195975364
13124548,+2*4*6+6-2-4-4,1.547761563971017
65756,+1*5*6+6-4,1.5467681288450712
24414896,+0*3-0/5-4/0-0,1.5467264057874812
3146146,+0*0*5*6*6+6-0,1.545608037790399
3146020,+0*0*4*6*6+6-0,1.545608037790399
9141285,+0*3+3*6+6-1*4,1.5421182436905896
1638218,+0*2+6-0*4*4,1.541358877034509
19874459,+5*6+6-2/5-4/1,1.540959185918142
30557413,-0*4/5/5-5/1-2,1.5399127829859462
19861895,+4*6+6-3/1-5/1,1.5398312085300683
19861889,+4*6+6-3/1-4/1,1.5387120854949823
1228241,+1*1*6/3/5+0*3*6,1.5380879064375632
21530933,+3+3+6-3*3/1-1,1.5376545456396806
1228244,+1*1*6/3/5+0*4*6,1.5357276132236322
25809368,+3+3-2*3*3*3-4,1.5351495455034472
31090969,-0*1*6-0/6-2/0,1.5347627411313964
18337783,+0*3+6-0*1/6/6,1.5332106300675916
5741137,+3*3*6*6*6-1*2,1.5292242926450084
26109785,+6+6-5*5*5-0/1,1.5247283657182138
1397983,+6/3+0+0-4/3,1.5180993637530535
26350979,+3+5-1*4/3-5/0,1.5167623064965028
2647156,+0+3-1/3-5/0,1.5139683992115764
3221465,-0*1*1-4/1-2,1.5129835362888095
3627836,+5*6/4/4+4*6-0,1.5129512258610278
5862147,+0*1*6/4/4-2/5,1.512654830125792
25986122,+2+6-1*1*2-2*2,1.5106911690961722
25778039,+3+3-1*1*4/0/3,1.5105872436152696
615229,+1*4*6+0+6-4,1.5066895256108357
26981154,+3-3*3*3*3/6/6,1.5063677658663568
9041290,+2*2*6+6+6-2-2,1.5024834363709898
171257,+0+0+3-5/0,1.5021550477737735
3769713,+0*0*1*6+6+6-0,1.498983716360792
16436003,+1+4+4+5-4*5/0,1.4980937658619184
11078545,+0*0+6+6+6-0-0,1.497916289624627
29814673,-2*2*4/6/6-4/1,1.4959226157859593
19503318,+0*2+4-5*5-4/5,1.4956675848296563
9838976,+4*6+6/1+6-4/1,1.4943789979706268
21652948,+3+3+3-3*3-2/3,1.4934268412166147
3145768,+0*0*3*6*6+6-0,1.4904472794813077
27033827,+1-1*1*5*5/4-2,1.4892781644151059
2973781,+5*6*6*6+6*6*6/5,1.4887132290020584
78568,+2*3*6*6*6+6*6,1.485414390007925
19416132,+0*3+1-0*1-1*3,1.4792499222674433
7334122,+6*6/1+5*6-5/1,1.4785217092755978
28103838,+1-1*1*5-2/5-0,1.4779846009931892
16423518,+0+1+5+5-5*5/0,1.4741430712255776
16443935,+3+4+4+4-4*4/0,1.4734032114516666
26643809,+2+2-0*2-1/0-0,1.4680582048295368
21657755,+3+4+4-3*5-5/3,1.4673345536309985
16435850,+1+4+4+4-4*4/0,1.463450030181982
2961173,+4-1*4-4/1-2,1.4624751257499673
27638010,+1-1*1*1*5-2-2,1.454313055453441
161223,+4*6*6*6*6*6+6*6,1.4519556932885644
2684478,+1*1*6*6*6+6+6+6,1.447738524627109
21376632,+3+3+4-1*1*4*5,1.4455222369476994
27266789,+4-4*4*4/2-4*5,1.4411618394414067
