"","","","","Bên mua","","","","","","Khớp lệnh","","","","Bên bán","","","","","","","","","ĐTNN","",""
"CK","Trần","Sàn","TC","Giá 3","KL 3","Giá 2","KL 2","Giá 1","KL 1","Giá","KL","+/-","+/- (%)","Giá 1","KL 1","Giá 2","KL 2","Giá 3","KL 3","Tổng KL","Cao","Thấp","NN mua","NN bán","Room"
"TPC","6420","5580","6000","5620","100","5650","200","5660","100","5700","300","-300","-5","6000","1500","6050","600","6180","4000","1500","6000","5700","","","11540390"
"TRA","92800","80800","86800","80800","300","80900","100","81000","100","86500","300","-300","-0.35","85800","300","86000","5000","86500","300","300","86500","86500","","","1082200"
"TRC","33250","28950","31100","30000","2500","30500","1000","31050","100","31050","16900","-50","-0.16","31100","1800","31750","200","31950","300","17700","31100","31050","","","14474564"
"TSC","3980","3460","3720","3710","45300","3720","34800","3730","10000","3730","500","10","0.27","3740","62100","3750","17100","3760","25100","316800","3760","3720","","",""
"TTA","8510","7410","7960","7950","2900","7960","2300","7970","900","7970","100","10","0.13","8000","22700","8010","100","8020","3100","605800","8000","7950","12200","","78081511"
"TTB","1950","1710","1830","","","","","","","","","","","","","","","","","","","","","",""
"TTE","10200","8880","9540","","","","","9000","100","","","","","10200","100","","","","","","","","","","14243030"
"TTF","4440","3860","4150","4110","46900","4120","54600","4130","20800","4150","100","0","0","4150","49300","4160","21500","4170","43100","609800","4180","4120","","","181975150"
"TV2","41350","35950","38650","38300","10800","38350","2400","38400","1700","38400","200","-250","-0.65","38550","400","38600","1000","38700","600","165400","39000","38400","300","5100","1423117"
"TVB","5990","5210","5600","5600","22500","5610","6200","5630","800","5650","400","50","0.89","5650","200","5660","300","5670","3000","78700","5750","5600","","100","31682913"
"TVS","21600","18800","20200","20100","5400","20150","6000","20200","2000","20200","1000","0","0","20250","1900","20300","8700","20450","2000","25600","20250","20000","10800","500","30756338"
"TVT","17250","15050","16150","16050","10200","16100","1000","16150","1000","16200","300","50","0.31","16200","700","16350","100","16400","900","17600","16350","16200","","",""
"TYA","10900","9490","10200","9490","1100","9500","1900","10000","1400","10200","100","0","0","10200","500","10300","2600","10400","100","100","10200","10200","","","3671328"
"UIC","34200","29800","32000","31800","1000","31850","2100","32000","100","","","","","33600","1000","33700","200","34000","200","","","","","",""
"VAF","12400","10800","11600","11500","20000","11550","2000","11600","800","11600","200","0","0","12150","700","12200","5900","12300","2200","300","11600","11550","","","18452986"
"VCA","9260","8060","8660","8600","5000","8610","1500","8620","200","8610","100","-50","-0.58","8650","4400","8740","100","8750","100","2400","8630","8610","","","7247412"
"VCB","87500","76100","81800","82100","9300","82200","13900","82300","20400","82400","700","600","0.73","82400","200","82500","31200","82600","15000","648200","82700","82000","309638","212286","369776482"
"VCF","196900","171300","184100","181000","100","181100","100","184000","100","","","","","195700","200","195800","100","195900","300","","","","","","12865562"
"VCG","26200","22800","24500","24600","246800","24650","385900","24700","264100","24750","100","250","1.02","24750","205300","24800","264400","24850","259800","5492100","25000","24550","","30500","207950267"
"VCI","44100","38400","41250","41750","83700","41800","73400","41850","21600","41850","400","600","1.45","41900","49000","41950","50700","42000","150400","4014000","42150","41350","91127","14510","343985248"
"VDP","39550","34450","38000","35000","500","35100","1100","37000","2000","39000","300","1000","2.63","39000","4700","","","","","1200","39000","38300","","",""
"VDS","18550","16150","17350","17200","7400","17250","21100","17300","1600","17300","100","-50","-0.29","17350","22500","17400","66900","17450","29800","232300","17450","17000","63900","4000","205536349"
"VFG","38500","33500","36000","35500","2500","35600","900","35700","300","35700","1000","-300","-0.83","36000","1500","36500","1000","36600","400","1600","36000","35700","600","600","20165900"
"VGC","58200","50600","54400","54600","5700","54700","11400","54800","11800","54900","100","500","0.92","54900","7900","55000","21600","55100","6200","413700","55400","54300","","55700","194827326"
"VHC","78400","68200","73300","73900","19900","74000","13900","74100","3300","74100","1000","800","1.09","74200","11100","74300","18400","74400","15400","515200","74300","73800","14600","167200","128368779"
"VHM","44050","38350","41200","41700","193300","41750","67600","41800","88600","41850","7000","650","1.58","41850","79500","41900","135100","41950","156300","7758600","42200","41300","336805","1195500","1194861473"
"VIB","20350","17750","19050","18950","21400","19000","175200","19050","56800","19050","3700","0","0.00","19100","65000","19150","266600","19200","204500","1295700","19150","19050","2200","",""
"VIC","46400","40400","43400","43350","25700","43400","76900","43450","7700","43450","2000","50","0.12","43500","3700","43550","14400","43600","52600","1225400","43750","43350","102500","259049","1383755054"
"VID","5630","4910","5270","5040","2000","5050","1000","5060","600","5240","100","-30","-0.57","5200","1000","5210","1400","5230","1300","8700","5240","5030","","100","20083670"
"VIP","12100","10600","11350","11100","21800","11150","14400","11200","18200","11250","1000","-100","-0.88","11250","4000","11300","7300","11350","16300","59500","11400","11200","","","28647735"
"VIX","18050","15750","16900","16900","797300","16950","875100","17000","720500","17050","900","150","0.89","17050","219600","17100","609400","17150","1088400","10989400","17200","16950","12500","22300","627340421"
"VJC","115300","100300","107800","107900","1700","108000","2700","108100","2800","108100","4200","300","0.28","108200","6500","108300","10600","108400","6100","619100","108200","107500","118100","30476","67279209"
"VMD","17950","15650","16800","17050","2100","17100","1100","17150","100","17200","100","400","2.38","17300","1100","17350","500","17400","2500","32100","17750","16700","3100","","7303050"
"VND","23200","20200","21700","21700","944500","21750","227500","21800","485800","21800","300","100","0.46","21850","343000","21900","798800","21950","1115700","11657800","21950","21700","65410","2268896","937209320"
"VNE","7140","6220","6680","6660","40800","6670","32200","6680","14700","6700","5000","20","0.3","6700","1400","6710","8400","6720","8800","311300","6730","6680","","3500","42930663"
"VNG","10200","8890","9550","9160","500","9200","100","9300","100","9390","1500","-160","-1.68","9350","100","9390","2000","9400","2800","18700","9550","9160","100","4200","47172024"
"VNL","15200","13300","14250","13950","300","14000","100","14050","800","14100","300","-150","-1.05","14150","2000","14200","8000","14300","300","17500","14100","14000","500","6700","5430920"
"VNM º","72600","63200","67900","68000","79300","68100","55200","68200","52500","68300","100","400","0.59","68300","900","68400","37500","68500","108000","1207400","68500","68000","210400","527627","959251642"
"VNS","14100","12300","13200","13000","3900","13050","6400","13100","1700","13200","100","0","0","13300","2600","13400","1800","13450","100","2800","13200","13100","","","19406366"
"VOS","12600","11000","11800","11500","100100","11550","20000","11600","46300","11600","100","-200","-1.69","11650","20100","11700","6500","11750","28500","1490200","12200","11600","","55200","67133150"
"VPB","19750","17250","18500","18250","772300","18300","549100","18350","35900","18350","500","-150","-0.81","18400","215400","18450","457300","18500","609400","5206000","18550","18250","947800","1113331","168122210"
"VPD","25350","22050","23700","23500","1000","23550","1000","23700","700","23700","100","0","0","23800","300","23850","200","23900","3300","2400","24000","23200","1000","","24894667"
"VPG","17900","15600","16750","16550","19300","16600","31400","16650","12900","16700","100","-50","-0.3","16700","4800","16750","5100","16800","18500","500700","16850","16500","1000","","41026700"
"VPH","8870","7710","8290","8180","5500","8190","4300","8200","700","8200","300","-90","-1.09","8280","4500","8290","15700","8300","32700","65000","8290","8200","1500","300","46000081"
"VPI","58900","51300","55100","54800","7400","54900","10000","55000","500","55100","6500","0","0.00","55100","4800","55200","24500","55300","23500","1629200","55700","55000","","3400","113329192"
"VPS","11300","9860","10600","","","9900","300","10050","1500","","","","","10600","300","10800","3800","11000","8400","","","","","","11817973"
"VRC","8560","7440","8000","7900","5000","7910","1000","7920","500","8000","200","0","0","7990","200","8000","10300","8060","100","2400","8140","7910","700","","24184403"
"VRE","25000","21800","23400","23150","119400","23200","118500","23250","4000","23250","1000","-150","-0.64","23300","13600","23350","50300","23400","117400","1858300","23500","23200","367810","330200","414467617"
"VSC","31950","27850","29900","29350","14100","29400","38000","29450","17500","29500","3000","-400","-1.34","29500","4000","29550","100","29600","500","656800","30200","29450","","13300","62118770"
"VSH º","49500","43100","46300","46200","1100","46300","1800","46350","1200","46400","400","100","0.22","46400","100","46500","2400","46550","3800","28400","46600","46250","","500","87496091"
"VSI","19650","17150","18400","17350","400","17400","100","18000","500","17300","100","-1100","-5.98","19250","700","19300","300","19500","400","100","17300","17300","","","6356440"
"VTB","13100","11400","12250","","","","","","","11400","1000","-850","-6.94","12200","600","12250","4000","12300","300","34300","12900","11400","1000","","5616015"
"VTO","10150","8840","9500","9450","2200","9460","6700","9470","10500","9480","100","-20","-0.21","9500","11000","9520","1100","9530","400","82700","9580","9480","11900","","35575755"
"YBM","9630","8370","9000","8620","5000","8640","100","8700","10000","9000","600","0","0","9250","3300","9300","1000","9400","3000","600","9000","9000","","","6967695"
"YEG","12350","10750","11550","11000","126900","11050","39800","11100","127000","11150","100","-400","-3.46","11200","16200","11250","31100","11300","21800","1185700","11700","11050","20200","14800","74868837"
Giá x 1 VNĐ. Khối lượng x 1. Giá trị x 1000000 VNĐ. Bản quyền thuộc về Công ty Cổ phần Chứng khoán SSI © 2019.
