"","","","","Bên mua","","","","","","Khớp lệnh","","","","Bên bán","","","","","","","","","ĐTNN","",""
"CK","Trần","Sàn","TC","Giá 3","KL 3","Giá 2","KL 2","Giá 1","KL 1","Giá","KL","+/-","+/- (%)","Giá 1","KL 1","Giá 2","KL 2","Giá 3","KL 3","Tổng KL","Cao","Thấp","NN mua","NN bán","Room"
"TCM","43850","38150","41000","40500","7500","40550","5900","40600","600","40600","1800","-400","-0.98","40850","2500","40900","5500","40950","7900","478700","41200","40500","","","1992654"
"TCO","9650","8390","9020","8970","10000","8980","1100","9000","100","9000","400","-20","-0.22","9020","500","9050","500","9100","600","18700","9190","8980","","","8670970"
"TCR","3590","3130","3360","3160","10000","3170","100","3190","100","","","","","3350","3000","3360","600","3400","700","","","","","","70455"
"TCT","23850","20750","22300","22200","2000","22300","1100","22400","1200","22450","100","150","0.67","22550","4700","22600","4800","22650","100","4300","22600","22300","","",""
"TDC","10450","9120","9800","9810","2600","9820","1400","9840","1800","9860","1000","60","0.61","9850","1000","9860","3700","9870","100","31400","9900","9800","600","","49204740"
"TDG","3900","3400","3650","3670","2000","3680","3300","3690","1000","3710","3000","60","1.64","3710","1000","3720","2000","3730","10600","42100","3740","3680","","",""
"TDH","4990","4350","4670","4620","7100","4630","4600","4640","1000","4650","2700","-20","-0.43","4660","10900","4680","10100","4690","57300","124100","4690","4630","5000","","54895960"
"TDM º","44500","38700","41600","41100","4900","41200","2000","41300","2000","41800","100","200","0.48","41700","400","41800","2300","42000","3300","12900","41800","40800","","4000","45249124"
"TDP","31550","27450","29500","27500","3000","27800","500","28000","300","28800","15000","-700","-2.37","29000","2400","29200","100","29250","1600","60800","29400","28200","","1100","38460724"
"TDW","49750","43250","46500","","","","","45100","200","49750","100","3250","6.99","49750","400","","","","","100","49750","49750","","","4006560"
"TEG","10550","9180","9870","9680","200","9700","200","9710","900","9710","2100","-160","-1.62","9850","100","9860","500","9870","500","12600","9710","9700","","","31850569"
"THG","41800","36400","39100","38800","100","38900","700","38950","300","39000","100","-100","-0.26","39000","500","39050","600","39100","3700","1300","39050","39000","","14","11052501"
"TIP","25850","22550","24200","24050","11100","24100","23300","24150","8500","24200","700","0","0","24200","1200","24250","3400","24300","2500","304100","24550","24050","","","21781036"
"TIX","35800","31200","33500","","","31200","100","33000","500","33500","2000","0","0","35800","100","","","","","2000","33500","33500","","",""
"TLD","5680","4940","5310","5260","5400","5270","5500","5280","200","5280","2800","-30","-0.56","5300","6300","5310","9300","5320","3200","209100","5340","5270","","","36153542"
"TLG","52400","45600","49000","48650","300","48700","200","48750","100","48850","800","-150","-0.31","48850","2800","48950","900","49000","2400","11300","49450","48700","500","400","60344441"
"TLH","8840","7700","8270","8340","7000","8350","10700","8360","6700","8360","300","90","1.09","8370","6300","8380","12100","8390","44200","617300","8420","8290","","","53351757"
"TMP","68400","59600","64000","64000","2600","64500","400","65000","1200","66000","200","2000","3.13","66000","1000","67000","2500","67900","1700","5300","66000","64000","100","60","33803929"
"TMS","48150","41850","45000","42550","500","43000","500","43050","200","","","","","44900","600","45000","5200","45400","1200","","","","","","9619006"
"TMT","16750","14650","15700","15200","300","15300","500","15400","200","15500","100","-200","-1.27","15550","700","15600","5800","15700","1400","1000","15750","15500","","","17279899"
"TN1","16550","14450","15500","15000","200","15200","100","15400","100","15700","100","200","1.29","15600","200","15700","900","15800","100","5400","15700","15700","5400","","24752329"
"TNA","6030","5250","5640","5560","300","5570","500","5600","1100","5620","2000","-20","-0.35","5630","2600","5640","6900","5660","22200","140400","5720","5620","","","22517677"
"TNC","69000","60000","64500","","","","","","","","","","","60000","100","64000","500","64500","3500","","","","","","9517908"
"TNH","21850","19050","20450","20350","13300","20400","29000","20450","27800","20500","100","50","0.24","20500","11900","20550","10000","20600","6000","216300","20700","20450","5800","105274","5875707"
"TNI","2870","2510","2690","2660","110200","2670","22300","2680","2900","2680","1900","-10","-0.37","2690","6400","2700","16500","2710","10900","63400","2720","2670","","","25633750"
"TNT","4970","4330","4650","4580","13800","4590","3800","4600","9700","4610","1100","-40","-0.86","4630","3200","4640","5100","4650","10000","47200","4700","4600","","","24512371"
"TPB","18200","15900","17050","16850","130900","16900","168600","16950","168900","17000","200","-50","-0.29","17000","89600","17050","72400","17100","301500","1575600","17100","16950","69200","297200","3856753"
