id,CT,GeoPro
16728651,+2*4/1-0*0/1/1,1.5404802920034872
27949510,+4-1*4/2-1*5/2,1.5374235018595601
11264409,+2*4*5/1-2*3*5,1.5240497424145065
11263988,+2*4*4/1-2*3*4,1.5240497424145065
11263984,+2*4*4/1-2*2*4,1.5240497424145065
9059311,+0*1/4+6+6-2-5,1.5057718650440726
23681875,+2*4-1*2*5-1-6,1.500737437469462
8936607,+2*4/1+0+5-2/1,1.4944305061440095
8937405,+2*4/1+4+6-2/1,1.4944305061440095
26495424,+4+6-2*4/3-3-5,1.4903217905019988
4091315,+0*3*3/1+2*5/1+4,1.4874687633815267
17644816,+2*4/1-0/6-2/1,1.4690311445849902
27763789,+4-2*2/5/5-3-5,1.4601359801219238
28355058,+5-1*4/0-5*6-0,1.4585072105757562
15680403,+2*6+3+5-1*1-1,1.4573256976426692
11265089,+2*5*5/1-3*3*3,1.455057494853483
32625042,-3/0-6/1-6-6-6,1.4542623708757554
4091314,+0*3*3/1+2*5/1+3,1.4540926906529805
20599022,+0*1+6-5*5-3-3,1.4513527191998892
2908181,+5-1*4/2-3-6,1.4506183912195807
6501258,+0*2*3*6+6-1-1,1.4500661062198557
31173189,-1*2/0-3*3-5*6,1.4476528111372908
883880,+0*2*6+5-5*5,1.4472177321809254
28355903,+5-1*5/0-5*6-6,1.4468172606232979
7291745,+3*5/2+5*5-5/2,1.4440965453392902
25870647,+4+6-5*5*5/4-2,1.4430101751828275
6001563,+2*2*5*6+6-3*5,1.442751832081579
26660048,+2+4-3*3-2/0-5,1.4390928793808917
22566982,+2*5-1*1*5-2*2,1.4379782209996417
31431584,-1*3/0-4/5-6/5,1.4378614240489982
24340947,+3*6-0*6-2/0-6,1.4373264024144052
27574380,+4-0*0/6/6-1/0,1.43722405597294
21408105,+3+4+6-1*1*4/2,1.433963148997428
26495229,+4+6-2*2/0-3-5,1.4338486593447675
11621332,+0*0*1/5-2/1-0,1.4337758141756884
1091127,+0*2*2*2/3+2*4/1,1.431664153495957
27239689,+2-1*2*2/3-6*6,1.4306822972641695
3161605,+4*4*6*6*6+6-3,1.429156855137826
3161773,+4*5*6*6*6+6-3,1.429156855137826
27329683,+2-1*2*2/3-0/2,1.425769294217896
3161981,+5*5*6*6*6+6-1,1.424112816589798
28594423,+5-1*4/3-1/0-1,1.4226475690760472
18822894,+5*6+5-0*0*0-4,1.4225136785225805
18230522,+2*4+5-2*2*2*2,1.4218137970176703
27459139,+4-0*4/2/3-2*2,1.4214668504816392
17580765,+0*1/4-1/0-6/3,1.4193195239618588
20654458,+2*4+6-3*4-2-2,1.418864875089523
28355281,+5-1*4/3-1*1-1,1.418576670744675
12507234,+3*5*6+6-1*1-3,1.4184631270439025
12990999,+2*5/1+5-6/1-0,1.4180150872398136
975298,+2*5/1+5-6/1,1.4180150872398136
6090132,+0*2*6/4+5-5*5,1.4136619051713226
3146123,+3*5*5/1+5*5*5/3,1.413580138370141
24343887,+3*6-2*5-2/0-6,1.411502194243822
24343593,+3*6-2*4-2/0-6,1.411502194243822
21667350,+4+4+6-5*5-1/5,1.4091264515895612
27196618,+5-0*0*4*5-1/0,1.4074273063018017
26494854,+4+6-1*2/0-3-5,1.4032570860971112
3854678,+5*5*6/4+5+6-4,1.4011596357134928
18992478,+5*6+5-0*3/5-4,1.4011596357134928
22538974,+0*4-0*0*3-0*5,1.3993596451136767
3320706,+5*5*5/3+1*3/4/6,1.3977151257925526
26109122,+6+6-3*3*3-1/4,1.397027830041444
981845,+3*3*6*6*6+0*3/4,1.3953755582307987
30840036,-2*3*3-0*0/3-0,1.3935574344101251
18710868,+6/0+3-2*4/0/1,1.3932120912617152
6651317,+0*0*2+4*6-0*2,1.3929173101636343
27195946,+5-0*0*1*1-1/0,1.3923938425566709
2256720,+5*5-2*5-5/2,1.3914739584650633
24375779,+5*5-2*5-5/2-6,1.3914739584650633
24375479,+5*5-2*4-5/2-0,1.3914739584650633
24375773,+5*5-2*5-5/2-0,1.3914739584650633
1470109,+6*6*6-6*6/3,1.388516129235986
17668689,+3*5/1-3/0-3/0,1.3873737607337784
15219003,+5*6+0+6-0*3*6,1.3872900670501533
3103353,+0*3*5/2+5*5*5/3,1.3795777856697975
8650574,+0*2*6+6+6-0/1,1.3769791486136576
20685158,+4*5+4-4*4-1-5,1.3724706423977802
571817,+0*5*6*6+5*6+0,1.3692521728413403
3550504,+3*6*6*6+0*3*6+6,1.3688567109666456
27187126,+4-0*0*1*1-1/0,1.3630306192303774
5914518,+3*5*6*6*6-6-6,1.3629235052010165
22674325,+4*4-5*5*5-4/5,1.3621111566587305
5915078,+5*5*6*6*6-6-6,1.3609464557894937
16603646,+6*6*6-6*6/1/3,1.3608490830876272
4175037,+2*2*6+3*6+6-3,1.3572092810675815
22673231,+4*4-2*3*3-4/2,1.3550698691534455
3569723,+0*0*1*3+3*4/1+3,1.3519471784625854
26127046,+0+4-0*4/2-2*2,1.3514091248953453
27952967,+4-3*4/5-5*5/4,1.3487819105477579
137784,+0*0*0*4*6*6+4*6,1.3473240069118715
26189678,+3+4-1*4/3-1*3,1.3454407113000033
1456762,+0*0*0*6*6+2*6+6,1.3452882607732266
1470108,+6*6*6-6*6/2,1.3430840281751106
21860322,+2*2-1*2*2*2/3,1.3429811624290406
11240849,+4*6*6*6-6*6/1,1.3407815933471938
3769713,+0*0*1*6+6+6-0,1.3394861043461768
9041286,+2*2*6+6+6-1-2,1.3381839576823114
668471,+0*0*0*0*6*6+6+6,1.337010151664722
22673021,+4*4-2*2*2-4/2,1.3367581108754736
