id,CT,GeoNgn
27974338,+6-3*3/1-5*6/1,1.5805084999786019
30937248,-3*3/1-4*6/1-3,1.5688858091615443
136913,+0*0*0*1*6*6+3*6,1.5630147845267695
18805898,+3*6+6-0*4*6-0,1.5522210089842463
16799379,+3*3*6-2*3*4-0,1.5463119944361856
1648885,+3*6+0-0*3*6,1.5254547322853056
27378471,+5-1*1*4/2-4/3,1.5226472411604899
2115546,+0*0*1/3/5+3*6+6,1.519155604452545
23695667,+3*6-0*5*6-0-0,1.5186604675638016
2252154,+3*6-2*5-0/3,1.5172452218910042
136321,+0*0*0*0*6*6+2*6,1.515491957538001
12507173,+3*5*6+5-5*5-2,1.5141792727265502
2911004,+0*1*6*6+3*5*6/4,1.5139591902356162
13222321,+3*5+3*5-1*3*4,1.507621030947331
29069752,+6-6*6-2/0-6/3,1.5069555374048076
209041,+0*0*4*6*6/1+3*6,1.5069102431683
21867234,+3*6-0*3*5*6/4,1.5067338725177264
273377,+3-1*2-3/2,1.5056806479294198
28976456,+3-1*2-0/5-3/2,1.5056806479294198
28976379,+3-1*2-0/3-3/2,1.5056806479294198
22685141,+5*6-0*0*2-1/3,1.5049138640369473
17228919,+2*2*6-1*6-1/0,1.500410952581306
26967314,+4-0*1*1*5*5/2,1.4992927841171713
30415555,-3*3*3/5-1/4-6,1.4982272218617683
28834044,+3-1*2-6*6-3/2,1.4959837851698727
32151086,-2*6-3*3-1/4-6,1.494581031672082
29158309,+6-2/0-4/5-6/3,1.4940354720446398
27960388,+5-1*4/2-1*5/2,1.493219586189548
27960843,+5-1*5/2-1*5/2,1.493219586189548
7175135,+0*1/3+3*6-2/3,1.4909572158110096
22142760,+0*5-0*0/6/6-1,1.4905198178610866
22562498,+2*3-1*2*2-1*5,1.4879695293178712
2045760,+5*6-2*4*6/3,1.4875582892812338
22046796,+5*6-0*0*2*6-0,1.484824457837194
30706199,-1*6*6/3-3-6-6,1.4838361496541594
21867618,+3*6-2*3*6*6/4,1.4807108572611924
22760502,+2*6-0*6/4-0*6,1.4806353094142375
22142970,+0*5-0*2/6/6-1,1.4786106025564507
29345208,+4-6*6-0/2-1-5,1.4767204851989417
2902724,+0*0*6*6+2*5*6/4,1.4751077648085391
3410492,+3*3*6/4+5*6-6,1.473487051364171
28167907,+4-1*2*2-4/2-1,1.472789585898262
7176311,+0*1/4+3*6-2/3,1.4727043097102326
27048287,+4-0*1*4*5/3-1,1.4711796768376024
12097085,+5*5*6+5-0*1*4,1.4709540251492477
13376993,+5*6+0/4-0*5*6,1.470596015021703
1457110,+4*4*6-0*1*4,1.469704157590299
12093931,+4*4*6+2-0*1*4,1.469704157590299
13281651,+3*6+5*6-1*2/5,1.4691204975613197
17255867,+4*4*6-1*3-5/2,1.4666530525749184
22123636,+5*6-5*6*6/1-1,1.4653067994804923
17258260,+4*5*6-1*4-5/1,1.4650082616147817
22118036,+4*6-4*6*6/1-1,1.4650082616147817
22213670,+5*6-6*6/1/2-1,1.461999648789845
29345334,+4-6*6-1/2-1-5,1.4609971807083648
18322522,+5*6+6-5*6*6/3,1.460686139019653
27329703,+2-1*2*2/3-3/4,1.4600430477232056
12989599,+2*5/1+0-2/1-5,1.457933996202715
12093950,+4*4*6+2-1*1*2,1.4578971289647846
177583,+3*6-2*6*6,1.4566365287513872
18341002,+0*4+6-0*0/6/6,1.456559240757412
18344236,+0*5+6-0*0/6/6,1.456157486229284
28976418,+3-1*2-0/4-3/2,1.4556694253299678
2956,+1*6+2*6,1.4484866712041211
10823408,+4*6+6+6+6-4/3,1.4473183220846548
28721683,+4-0*3/2-0-1-5,1.4470620340273381
26701217,+4+4-1*4-4/2-0,1.4457298699390688
136316,+0*0*0*0*6*6+1*6,1.44332115907546
27053615,+5-0*1*5*5/3-1,1.4410128684488641
13222322,+3*5+3*5-1*3*5,1.4379736412435555
13224293,+4*5+5*5-5*5*5,1.4377157323629823
3138117,-2*5/4/4-0/4,1.4369372773150226
317950,-2*2/0-0/4,1.4362198717197203
31294843,-2*2/0-2*3-0/4,1.4362198717197203
2685179,+0+4-0/5-3-5,1.4358056669946617
7316477,+4*6/2+5*6-4/2,1.435736947137762
22953223,+4*6-1*2/3-0/5,1.434929759544127
24156518,+3*6-6*6-6*6-6,1.4333626400845196
7807178,+2*2*6+5*6-2-2,1.430474189226993
27763789,+4-2*2/5/5-3-5,1.428321709728168
25736362,+0+4-0*1*4*4/3,1.4265231352806107
2138856,+2*6-6*6/2-6,1.4240468708080674
20689788,+4*6+5-6*6-4-6,1.4237254466444613
7807122,+2*2*6+4*6-2-2,1.4229067376617488
23766955,+2*2-2*3/0-0-0,1.4224057414315834
28299920,+3-0*3/4-3*5-2,1.421670748619829
26526080,+1+4-0*1-1*1-5,1.4173889205211474
22969934,+5*6-6*6/5-6/5,1.4167566354525023
12702317,+0*5/3+5-2*2-2,1.4161990692621975
25840887,+1+4-1*1*4/5-5,1.41315888507826
3127619,-0*0/6/6-0/6,1.4130639460939685
27477547,+5-2*5/3/3-5*5,1.4116591224045008
27278651,+5-5*5*5/4-2*2,1.3967225505304077
22581654,+4*4-3*5*5-5*5,1.3956345154754113
28871626,+5-2*2-5*5-2/0,1.3948258514461052
1108231,+0*5*5*5/1+5*5/1,1.3904072609457803
1104687,+0*4*4*4/1+4*4/1,1.3904072609457803
25728705,+3+4-1*1*1*1*1,1.3883936207610132
29592160,+4-2-2-2-2-2-3,1.381123334018801
2782755,+0-0*0*5-0/4,1.3762739515240014
