CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
+4-0*0*1*6-3-5,1.4543854012786754,3.5041909085123174e-93,1.3270690041387205,0.0,1.3929219538766218,292.17519964115195,0.9698996655518396,1.239130434782609,0.372027538226847,1215544.698408948,1.534798819044834,1.06,0.372027538226847,1215544.698408948,1.443511526841598,1.06,0.8125506231120401,0.02336131329165019,0.7900416431292566,0.0010171860647425392,0.48705611878198063,3.4945554238519563,1.4861675816081188,1.0627960570953634,1.411208359863293,1.0140334159852844,1.5118213546710582,1.179550984775631,0.37545530569563024,3.834683791866093,1.3712774583422362,1.1633688001653624,1.295667026517925,1.1349844257899422,1.4202301071456118,1.06,0.2713499762126468,1215544.698408948,1.2838349846075683,1.06,1.2163143269130605,1.06,1.5386213396189523,1.06,0.7019548347202128,1215544.698408948,1.230380874338854,1.06,1.1963120371099443,1.06,0.9698996655518396,1.06
+3*3*6-2*3*4-0,1.5525006440204928e-25,1.1185700708816717,0.0,1.0977867499544438,2.1065143164886915,1.1110220055495768,3.323076923076924,1.095057034220532,3.0928916736178436,1.967106862071868,1.1086688487231768,1.1654284892886257,3.0928916736178436,1.967106862071868,1.0973176865046101,1.1549687916210472,0.2741296740172692,0.5731825972014932,0.0388153554167245,0.5292007071947794,0.09823371162552887,0.03686019218284847,1.4858613079492657,1.3135727392117145,1.2932960995888874,1.1835135445064033,2.381035406015261,1.1295572619336673,0.12125509894182808,0.2810248152263721,1.3179112704728286,1.2094630597802827,1.1577176669573288,1.1951171583236524,2.5968220255212078,1.367924528301887,3.0928916736178436,0.4996390722565449,1.1086688487231768,1.1257340179780546,1.0973176865046101,1.1146269062487604,1.06,1.2314907812612095,3.0928916736178436,1.967106862071868,1.1086688487231768,1.1674687359738003,1.0973176865046101,1.156495412205665,1.06,1.06
+3*6-2*5-0/3,1.1673602204992253,1.2078145410174699,0.9430987492162741,1.1802142109040714,0.9996239663818531,0.5507820334039395,3.323076923076924,1.095057034220532,0.11568077268386069,0.1648650389028111,1.489489871985607,1.2078145410174699,0.11568077268386069,0.1648650389028111,1.3519560662002712,1.1802142109040714,0.4540271807982059,0.70346450380633,0.220355670029294,0.6714151445120522,0.11568077268386069,0.033206910657978456,1.463846446836111,1.2629167022368366,1.2772666272389563,1.1652215463683206,2.417347584402911,1.1295572619336673,0.0477002812601533,0.019910855771620196,1.303423245991223,1.2031028285902117,1.239567357858715,0.9774816314337585,3.264,1.1571613868461597,1.0101517098432964,0.25945003226364916,1.1077045622502828,1.1689336800292807,1.0963245304821643,1.151958837446303,1.06,1.2314907812612095,1.0101517098432964,0.5795299940008707,1.1077045622502828,1.1233271334794253,1.0963245304821643,1.115640067189018,1.06,1.06
+3*5*6+5-5*5-2,1.3279602054637885,7.912332041450371e-47,1.1698257508167271,0.0,1.090968646153716,0.26427803449702,3.323076923076924,1.58648111332008,0.2617782491670059,0.36353006449946823,1.4384572895551508,1.2964125109513083,0.2617782491670059,0.36353006449946823,1.3087016383559211,1.2137969175207382,0.7198738418039764,0.1476318486366362,0.6844778636603464,0.00203998606185112,0.26422763072837663,0.3292026567687422,1.4565451429488565,1.6820826173685017,1.323128305475405,1.4000003404428236,2.268704475187678,1.06,0.2690676626495682,0.27078572384705935,1.3549280394824408,1.407513740064885,1.245803980905816,1.0675519385752001,2.3790491438101196,1.06,0.2498162305029659,2400426.9894795944,1.335092037265722,1.06,1.2393446881727475,1.06,1.9256240767038022,1.06,0.3919462849163973,2400426.9894795944,1.1205965289455255,1.06,1.103685558965616,1.06,3.323076923076924,1.06
+0*0*6*6+4-3-5,1.3611133071606696,3.60452446054108e-93,1.2362789980037536,0.0,1.3972007691049635,375.3950223600653,0.9698996655518396,0.1272727272727273,0.3730408845659232,18332190.80163544,1.4363696820524696,1.06,0.3730408845659232,18332190.80163544,1.3367309396433518,1.06,0.7334690593778619,0.026156440139975833,0.6888944677924289,0.0010214289164710674,0.491871443331549,4.569677480870474,1.4520323644194608,1.279240889859607,1.3735952328035304,1.045067798653856,1.5118213546710582,1.0335818149286735,0.37583931933813286,3.933459278979466,1.3712774583422362,1.2543112226855715,1.295667026517925,1.1979934046539702,1.4202301071456118,1.0257650347096914,0.27208332839638705,18332190.80163544,1.2687066493380112,1.06,1.1992369355093266,1.06,1.61894041306641,1.06,0.7027319129954234,18332190.80163544,1.2072784884394594,1.06,1.178935931825012,1.06,1.4808272701018252,1.06
+6-6*6/5-0-2-2,1.259895280778271,1.2798218731394349,1.0174598683721663,1.1831115971552044,0.17510743211450405,0.03547992420253125,1.991754874651811,0.9819819819819819,0.07255949921530279,0.07452054412645007,1.4248225648389445,1.3180879809238724,0.07255949921530279,0.07452054412645007,1.2919262034104124,1.228497594966119,0.5676938140836624,0.542207709262966,0.2743412018521019,0.32709748460766386,0.07255949921530279,0.07452054412645007,1.451062958989955,1.3180879809238724,1.3143997178065403,1.228497594966119,1.9780202944687626,1.06,0.07255949921530279,0.07452054412645007,1.4324637696626121,1.302779222074461,1.2872949339397013,1.2022362122917465,1.06,1.06,0.051099049500250515,0.07452054412645007,1.4217602367093374,1.3180879809238724,1.2829261422609075,1.228497594966119,1.7118099673048743,1.06,0.12424193699733285,0.07452054412645007,1.211905121927711,1.3180879809238724,1.1606961290224609,1.228497594966119,1.991754874651811,1.06
+3*6+0-0*3*6,2.1505407176465466e-50,3.353142103913663e-93,0.0,0.0,3.178154198453127,128.77881818044244,1.608878504672898,1.239130434782609,2.882191798311548,112847.36746476986,1.4219028461237582,1.06,2.882191798311548,112847.36746476986,1.3318372848136324,1.06,0.27087309202676235,0.01972774629621452,0.027963513129531582,0.0010167097173733163,2.9108463634201103,2.3730967887231285,1.4409377438042326,1.1075116496302282,1.3548910644849592,1.0298390857680024,3.2003886194250564,1.6903391240400159,3.2696659846120895,112847.36746476986,1.1907237362423408,1.06,1.14635947877594,1.06,1.06,1.06,2.9108463634201103,112847.36746476986,1.4409377438042326,1.06,1.3548910644849592,1.06,3.2003886194250564,1.06,7.734942025709653,112847.36746476986,1.1229686236792338,1.06,1.1126457486237498,1.06,1.06,1.06
+5-1*1*4*4/2/3,1.8048027961738738e-25,5.456905421857429e-47,0.0,0.0,6.491571309386286,14.019962474681082,3.739669421487604,1.466666666666667,8.213669889425216,172.51013308661183,1.2380658365725152,1.06,8.213669889425216,172.51013308661183,1.1887495786436095,1.06,0.4639489647827978,0.07366220227133038,0.06726135916383909,0.0020778583659021408,7.492495040435484,172.51013308661183,1.4369338979077577,1.06,1.3421939840909,1.06,1.06,1.06,7.5725588384804325,7.524331629551631,1.2159215855067274,1.0658904667614941,1.153074394679397,1.0500437919492205,1.06,1.2266790634612394,8.213669889425216,172.51013308661183,1.2380658365725152,1.06,1.1887495786436095,1.06,1.06,1.06,8.836114627366463,172.51013308661183,1.1601029201714115,1.06,1.1413148734339091,1.06,1.06,1.06
+5*6+0/4-0*5*6,1.4992035720078665e-25,3.4097366416274587e-93,0.0,0.0,5.396874459931466,267.1111107002423,1.991754874651811,0.6545454545454545,10.433127789160096,180610.42913425862,1.153723422193576,1.06,10.433127789160096,180610.42913425862,1.133721761949488,1.06,0.3290503680076678,0.020417341773758813,0.06284923799208135,0.0010195855039762142,3.523388268102632,180610.42913425862,1.436677684468396,1.06,1.3407977224096008,1.06,1.991754874651811,1.06,1.1817090813774518,180610.42913425862,1.1534259416730857,1.06,1.1222249183595066,1.06,1.4483458768175386,1.06,5.910868704873546,180610.42913425862,1.1134676508939838,1.06,1.0955909329720703,1.06,1.06,1.06,10.433127789160096,180610.42913425862,1.1395863256561571,1.06,1.1249196243352033,1.06,1.06,1.06
+0*0*0*1*6*6+3*6,1.2020511928265751,3.6007191110284855e-93,1.0287866945220956,0.0,9.416395024738332,5651.8022709473325,4.676470588235294,0.1272727272727273,3.294578087661357,354640101012.13464,1.396469846039936,1.06,3.294578087661357,354640101012.13464,1.2952438695744355,1.06,0.5595277023664018,0.026133436283240927,0.43883733733627306,0.0010214180916756077,3.598079820423349,4.347396515657721,1.4366505836143417,1.5173709494498173,1.3488929679920958,1.2321956051661571,2.9057384847834324,1.4142754550777739,5.744358687604635,2.6663838004126106,1.3038903206662569,1.0658670109200388,1.2446183433562807,1.044306413296282,1.06,2.463235294117647,3.294578087661357,354640101012.13464,1.4070237097478278,1.06,1.3230785846807078,1.06,3.2829705346621894,1.06,9.941029788528816,354640101012.13464,1.151643290370151,1.06,1.128223237101137,1.06,1.06,1.06
