id,CT,GeoNgn
27649654,+4-0*0*1*6-3-5,1.4861675816081188
16799379,+3*3*6-2*3*4-0,1.4858613079492657
2252154,+3*6-2*5-0/3,1.463846446836111
12507173,+3*5*6+5-5*5-2,1.4565451429488565
6496816,+0*0*6*6+4-3-5,1.4520323644194608
28745373,+6-6*6/5-0-2-2,1.451062958989955
1648885,+3*6+0-0*3*6,1.4409377438042326
26985029,+5-1*1*4*4/2/3,1.4369338979077577
13376993,+5*6+0/4-0*5*6,1.436677684468396
136913,+0*0*0*1*6*6+3*6,1.4366505836143417
162511,+0*0*1/3/5+5*6,1.4318071634455938
2685179,+0+4-0/5-3-5,1.4301191299507843
6272009,+0*1/3/5+5-2*3,1.4297631913435258
6271981,+0*1/3/5+4-2*3,1.4297631913435258
22562496,+2*3-1*2*2-1*3,1.429533930133156
28745317,+6-6*6/4-0-2-2,1.4285617291343113
28395254,+6-6*6/4-0*5-2,1.4284346478663446
26496159,+4+6-4*6/5-3-5,1.4251190632128141
856725,+0*0*1/5-0-2,1.4243261800099967
31475325,-3*3/4-1/2-6/3,1.4241657304662754
15209012,+3*6+6+6-0*5*6,1.4232970574848722
23695611,+3*6-0*4*6-0-0,1.4232970574848722
21871598,+5*6-0*2*4*6/3,1.4214679071904368
32388352,-1/2-3/4-6/3-0,1.4213963688988804
2196690,+1*1*6/3/4+3*6+6,1.4196117796208498
2115350,+0*0*1/3/4+3*6+6,1.4177249814795816
27239663,+2-1*2*2/3-0*1,1.4161245801471218
27762718,+4-1*4/5/5-3-5,1.4160878576072522
17180743,+0*1*6-2*2-0/5,1.4145943626578157
29053352,+6-1*3-1/3-3/1,1.4112682724270282
22562498,+2*3-1*2*2-1*5,1.4109234390337013
31395691,-0*1/4-0/4-2/4,1.4098055072937967
31088188,-0*1*3-0/4-2/4,1.4098055072937967
31396594,-0*1/5-0/4-2/4,1.4098055072937967
29345208,+4-6*6-0/2-1-5,1.408619970270873
7175135,+0*1/3+3*6-2/3,1.407778238765974
10712122,+2*6+3+4+4-1*5,1.4077542748976841
5817716,+3*3*4*6/1-5/6,1.4057365272706508
27763789,+4-2*2/5/5-3-5,1.4041725520935486
27760072,+4-0*2/5/5-3-5,1.4031490950969
27759757,+4-0*1/5/5-3-5,1.4031490950969
3138117,-2*5/4/4-0/4,1.402794995607686
31294801,-2*2/0-2*2-0/4,1.4020407765560359
31294843,-2*2/0-2*3-0/4,1.4020407765560359
26100739,+5+5-1*1*5-4/2,1.401803252890294
7177487,+0*1/5+3*6-2/3,1.4012657174510048
22673312,+4*4-2*3*5-3/6,1.4009474902295977
22584903,+4*6-0*4*6-0*6,1.4001977127410348
22686141,+5*6-0*5*6-0/1,1.4001977127410348
22589493,+5*6-0*5*6-0*6,1.4001977127410348
26707831,+4+5-1*4-4/2-6,1.3964445433940333
26701222,+4+4-1*4-4/2-6,1.3964445433940333
26720323,+5+5-1*5-5/2-2,1.3964445433940333
26720326,+5+5-1*5-5/2-6,1.3964445433940333
19655259,+3*6+5-5*5-2/1,1.3961492376149447
12080732,+2*2*6+4-0*1*2,1.3940173026839133
22213668,+5*6-6*6/1/1-6,1.3938176695271804
22207194,+4*6-6*6/1/1-0,1.3938176695271804
21903520,+5*6-5*6*6/1/4,1.3938176695271804
21903519,+5*6-5*6*6/1/3,1.3938176695271804
22969728,+5*6-6*6/1-0/4,1.3938176695271804
2045868,+5*6-5*6*6/3,1.3938176695271804
28834044,+3-1*2-6*6-3/2,1.392424853688062
26032602,+0+6-0*0*6-2/1,1.390682641399757
136321,+0*0*0*0*6*6+2*6,1.3896652811868768
13266901,+1*6+4*6-6*6/1,1.3896144984683882
19362564,+5/4+4-3*5/4-5,1.387732123724124
18799108,+3*4+6-3*4*4-2,1.3845859193492511
22760475,+2*6-0*6/3-0*6,1.383650318462584
22562497,+2*3-1*2*2-1*4,1.382402369254496
21781884,+5+5+6-2*2-2-4,1.3823249923364251
12702317,+0*5/3+5-2*2-2,1.381043771710911
28167907,+4-1*2*2-4/2-1,1.3791108464460085
241959,+5+6-2*2-2,1.3787535576614691
26494854,+4+6-1*2/0-3-5,1.3784234113336955
15182473,+1*4+3+4-1*1*4,1.377775241727699
27276031,+5-2*5*5/3-5*5,1.3765525937909224
23766955,+2*2-2*3/0-0-0,1.3750158301065496
26564730,+0+0-0*1-0/1-2,1.3675935138816273
34488,+1*6+2*6+6,1.364640112639637
9309455,+3*6+4*6+6-4/3,1.364493762857764
26526080,+1+4-0*1-1*1-5,1.3626908825373987
28871626,+5-2*2-5*5-2/0,1.3614441712338474
177583,+3*6-2*6*6,1.3587119240621377
1456721,+0*0*0*6*6+1*6+0,1.3558404474461132
22969892,+5*6-6*6/4-6/5,1.3556761811167013
22969934,+5*6-6*6/5-6/5,1.3556761811167013
6005625,+2*6*6*6+4-4*4,1.3521825124164457
21837345,+0*4-0*0*0*1*4,1.3484595956973462
21837808,+0*5-0*0*0*1*5,1.3484595956973462
13224293,+4*5+5*5-5*5*5,1.3480656110644476
27278651,+5-5*5*5/4-2*2,1.3446940790894433
29592160,+4-2-2-2-2-2-3,1.344292470839235
13127295,+3*3*6+6-3-3-3,1.3430195144373056
16414306,+3+3+5+5-1*1*5,1.3425259542016175
25840887,+1+4-1*1*4/5-5,1.3368206371721538
3026199,+5-2*2-2-2-2,1.3329098150306693
3024631,+4-2*2-2-2-2,1.3329098150306693
3204103,+0*1*1/3/5+5-3,1.3322736107964999
15199641,+2*6+6+6-2*6*6,1.3304487864087935
