CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
+2*4/1-0/6-2,1.064444645816672,0.9284004053295667,0.9123704640099928,0.9213026115861768,121.28038532873863,18315.743372542973,3.739669421487604,2.208576998050682,73.00460497764986,33874.27661651677,1.1168015361569554,1.06,138.30781968160795,33874.27661651677,1.0789466787225956,1.06,0.35522079667991724,0.30026611384379737,0.10337235205397138,0.22423067915652134,60.651881997505235,33874.27661651677,1.281668224142184,1.06,1.2575075411969387,1.06,2.150775420607361,1.06,51.419194481707564,33874.27661651677,1.5470038280136673,1.06,1.4466193007719947,1.06,1.226600985221675,1.06,138.30781968160795,21306.96984938233,1.0813418286207297,0.9833387085708769,1.0789466787225956,0.9788308730182379,1.06,1.06,138.30781968160795,33874.27661651677,1.0813418286207297,1.06,1.0789466787225956,1.06,1.06,1.06
+2*4/1-0/6-3-6,1.003746176994038,0.9284004053295667,0.8785043613296957,0.9213026115861768,122.18726723152236,18316.741661831715,3.739669421487604,2.208576998050682,138.11304574321872,33874.3152425729,1.0813418286207297,1.06,138.11304574321872,33874.3152425729,1.0789466787225956,1.06,0.3340786628916218,0.30026611384379737,0.10236133667989859,0.22423067915652134,53.73401182332188,33874.3152425729,1.2572128863536078,1.06,1.233385062794373,1.06,2.150775420607361,1.06,50.748383793568976,33874.3152425729,1.5470038280136673,1.06,1.4466193007719947,1.06,1.06,1.06,138.11304574321872,21307.35864848731,1.0813418286207297,0.9833387085708769,1.0789466787225956,0.9788308730182379,1.06,1.06,138.11304574321872,33874.3152425729,1.0813418286207297,1.06,1.0789466787225956,1.06,1.06,1.06
+1-1*1-6*6-1/3,0.938037324388069,1.1016162101023277,0.8108521990608668,1.0110167722246246,0.13627195974032624,0.15234561694481696,1.553415061295972,1.124409448818898,0.18223217962257432,0.15772132272957956,1.06,1.2159638249079103,0.18223217962257432,0.15924624546353935,1.0599999999999998,1.1566795236101586,0.37839094890873926,0.3597380344306768,0.1814441468046928,0.28898190659144773,0.034283132771691927,0.15802995130030245,1.2045471731917101,1.2159638249079103,1.1534123940968595,1.1314411461318272,2.4195765991203606,1.06,0.03391075819366152,0.13737465678429736,1.5449596006018662,1.2509834295038889,1.4482356794320417,1.1780527131915706,3.707155813000994,5e-324,0.18223217962257432,0.15484585547047297,1.06,1.173837879956717,1.0599999999999998,1.1357202554042518,1.06,1.06,0.18223217962257432,0.15924624546353935,1.06,1.201941245033035,1.0599999999999998,1.1566795236101586,1.06,1.06
+0*5+3-1*1-0/6,0.9353080718090963,4.111425819445367e-93,0.8379169097656062,0.0,23.413949797975533,7581.72306443032,3.739669421487604,0.8918918918918919,61.77411156489689,37090.4798897592,1.0904750745483713,1.06,106.70395168238655,37090.4798897592,1.0789466787225956,1.06,0.4073075938474499,0.04209421098656048,0.28728741531581786,0.0010229920898933767,7.845574465995285,184.24661086321532,1.1723631164570933,1.0780949151399983,1.1385411894571988,0.9453427778071227,2.931311338860867,0.9818918559723655,9.296277860750378,170.7863206940607,1.53409177578147,1.06,1.4456140339226053,1.06,1.06,1.06,106.70395168238655,37090.4798897592,1.1231546385104094,1.06,1.1049403393608608,1.06,1.06,1.06,106.70395168238655,37090.4798897592,1.1231546385104094,1.06,1.1049403393608608,1.06,1.06,1.06
+0*4+3-1*1-0/6,0.9103750336903003,4.111425819445367e-93,0.8181355554140199,0.0,23.918449987672055,7583.468102773446,3.739669421487604,0.8918918918918919,61.81798685578654,60991.84817041529,1.0904750745483713,1.06,106.77496495136594,60991.84817041529,1.0789466787225956,1.06,0.3756526025723518,0.04209421098656048,0.2688362485789129,0.0010229920898933767,9.278695969729808,184.4356857133624,1.150501514469955,1.2040393517566064,1.09848331422546,0.9946762499635505,2.931311338860867,0.9818918559723655,10.254446385102039,170.788763471356,1.531632022259375,1.06,1.4437759593253903,1.06,2.81203007518797,1.06,106.77496495136594,60991.84817041529,1.1231546385104094,1.06,1.1049403393608608,1.06,1.06,1.06,106.77496495136594,60991.84817041529,1.1231546385104094,1.06,1.1049403393608608,1.06,1.06,1.06
+3-3*4*5-2/3-0,1.2655975710563406e-25,1.0540237520488553,0.0,1.0106035698005635,7.726370660027423,1.6969987976583452,2.051724137931035,1.00850259801606,16.801185573334163,1.6069231722034825,1.06,1.1414941053009877,16.801185573334163,1.6069231722034825,1.0599999999999998,1.131824215555115,0.2897760872848889,0.47371124836352513,0.03982658377141014,0.421233622096356,0.5531409870949746,1.4558761610621676,1.1570372421912654,1.1893018463676877,1.0456293557847418,1.1782959238844866,1.9063257189153124,0.9660568545635856,0.5344732098098397,1.4558761610621676,1.5199213471408812,1.162920801430541,1.339411464878813,1.1526952087596793,1.8636721922556514,1.00850259801606,16.801185573334163,1.207874545913074,1.06,1.0693931722016246,1.0599999999999998,1.0426358872129426,1.06,1.1065954357718741,16.801185573334163,1.4558761610621676,1.06,1.1893018463676877,1.0599999999999998,1.1782959238844866,1.06,0.9660568545635856
+3+3+3-2*5-3*3,0.9733050208670987,0.9115935566806005,0.8221974203464497,0.9052735748202011,2.181423645722428,2.2489714261655567,1.581509433962264,1.462934947049924,2.118369649620845,2.2499572053911483,1.1301598532793096,1.06,2.2107572377318134,2.2499572053911483,1.091683108706335,1.06,0.3457218712084897,0.2607241832617693,0.20803238314439085,0.2038040997751781,2.119052348404624,2.2499572053911483,1.1928311151120514,1.06,1.0392100630935543,1.06,1.8707683988217816,1.06,2.0421745560646554,2.2403019091508205,1.5185575004199214,1.093541119645676,1.3706216972218508,1.0897316999941553,1.970189701897019,1.06,2.239223870092091,2.2494179185407677,1.0406141364912058,1.0061062421519147,1.0377635370751883,0.9990658231796289,1.06,1.06,2.2499834467158655,2.2498888049500287,1.06,1.0547032818880504,1.0599999999999998,1.0546232184537547,1.06,1.06
+3+3+3-2*4-3*3,0.9622573386897613,0.9115935566806005,0.8189261037821483,0.9052735748202011,2.1613419801315246,2.2489714261655567,1.970189701897019,1.462934947049924,2.2098787646833666,2.2499572053911483,1.1295980674679724,1.06,2.2098787646833666,2.2499572053911483,1.091683108706335,1.06,0.34135949825298073,0.2607241832617693,0.20730750293853517,0.2038040997751781,2.1216958190931923,2.2499572053911483,1.1850635288340703,1.06,1.018621226676258,1.06,1.970189701897019,1.06,2.0210483009050644,2.224583083137107,1.5185575004199214,1.0991909514718288,1.3706216972218508,1.08446871895531,1.970189701897019,1.06,2.240209747839769,2.2494179185407677,1.0406141364912058,1.0061062421519147,1.0377635370751883,0.9990658231796289,1.06,1.06,2.2499834467158655,2.2498888049500287,1.06,1.0547032818880504,1.0599999999999998,1.0546232184537547,1.06,1.06
+6-2/5-5/3-6/3,0.9909914672993838,0.7879494048275714,0.9431039216543009,0.7536316664305094,-0.08837861885710158,11.983167424883899,3.264,0.5341959334565619,16.108323678871038,26.817480285088223,1.0729611795852438,1.06,16.108323678871038,26.817480285088223,1.0720519247985676,1.06,0.4359134961407521,0.14402499853141099,0.25896199581561163,0.06614423507806208,-0.37000619042834815,3.4595094836184455,1.167300719776964,1.1690105853022192,1.0555527511321352,1.1197284493538693,2.8524222083246475,0.834841386192867,-0.5763723079077901,2.7287939812654454,1.516917797301724,1.1203780973755126,1.3753767873401188,1.0517106285781863,2.3598814157838546,1.037218353167446,14.161951386989852,26.817480285088223,1.051935142335272,1.06,1.0481268879193393,1.06,1.06,1.06,16.108323678871038,26.817480285088223,1.0729611795852438,1.06,1.0720519247985676,1.06,1.06,1.06
+3-2/0-2/6-5/1,0.8036522239227575,0.9211401080955601,0.7422100741558049,0.8382037240507114,57.30783374758264,14248.175759346996,1.222972972972973,1.15,2617.2183562720293,1702.5620232834017,1.06,1.0988373049520854,2617.2183562720293,1702.5620232834017,1.0599999999999998,1.0948258902223098,0.2986538604671833,0.2664405225145485,0.22041132224252635,0.12282979935416785,232.02120518142692,1702.5620232834017,1.1210625381436374,1.0988373049520854,1.0786644379672472,1.0948258902223098,1.06,1.0209459459459458,-0.15422538245677012,67.19572206549287,1.516046876829644,1.142399109942371,1.362197530217184,1.12802803146138,2.243387348267529,1.005882352941176,2617.2183562720293,799.3616366875169,1.06,1.0840234433449325,1.0599999999999998,1.079328188808832,1.06,1.0577417417417416,2617.2183562720293,799.3616366875169,1.06,1.0840234433449325,1.0599999999999998,1.079328188808832,1.06,1.0577417417417416
