CT,GeoPro,GeoPro_JP,HarPro,HarPro_JP,Value,Value_JP,Profit,Profit_JP,ValGLim,ValGLim_JP,GeoLim,GeoLim_JP,ValHLim,ValHLim_JP,HarLim,HarLim_JP,GeoRank,GeoRank_JP,HarRank,HarRank_JP,Nguong,Nguong_JP,GeoNgn,GeoNgn_JP,HarNgn,HarNgn_JP,ProNgn,ProNgn_JP,Nguong2,Nguong2_JP,GeoNgn2,GeoNgn2_JP,HarNgn2,HarNgn2_JP,ProNgn2,ProNgn2_JP,Nguong_20,Nguong_20_JP,GeoNgn_20,GeoNgn_20_JP,HarNgn_20,HarNgn_20_JP,ProNgn_20,ProNgn_20_JP,Nguong_snp,Nguong_snp_JP,GeoNgn_snp,GeoNgn_snp_JP,HarNgn_snp,HarNgn_snp_JP,ProNgn_snp,ProNgn_snp_JP
+4-1*2/3/4-3-5,1.6059555397806824,2.089770966447476,1.429300245630835,1.8562491660556522,0.3715326441193634,4.751126785465097,1.2882096069869,1.238425925925926,0.09252674683379297,5.338210273347317,1.6059555397806824,2.089770966447476,0.3371781441010633,5.338210273347317,1.4987033925118192,1.8562491660556522,0.8743527222814003,0.8592061808569097,0.8575748536235808,0.8413345138765199,0.37750440842041666,6.474941116270145,1.4699312250220447,3.4617507846637032,1.3967937530155088,2.3086628236804816,1.06,1.06,0.3371781441010633,5.003277954040213,1.474531251682946,2.8123805344534722,1.4109757311480158,2.6684610267575053,1.06,1.06,0.12341856008999563,5.872814424497496,1.2612045434374262,3.182871200915001,1.2020881046814986,2.2590184196877185,1.422946627967842,1.06,0.4289090945656229,7.500788416635979,1.4163772538987869,2.5388726773855796,1.3495423075042172,1.5341736351414972,1.06,1.06
+4-2*2/3/4-3-5,1.6059555397806824,2.089770966447476,1.429300245630835,1.8562491660556522,0.3526662036240884,4.752922181705957,1.2882096069869,1.238425925925926,0.08561416713610598,5.337896332496616,1.6059555397806824,2.089770966447476,0.08561416713610598,5.337896332496616,1.429300245630835,1.8562491660556522,0.8743527222814003,0.8592061808569097,0.8575748536235808,0.8413345138765199,0.44578730245937725,6.421746034974763,1.4643933664523938,3.4617507846637032,1.3792168360828603,2.3086628236804816,1.06,1.06,0.3181983171600949,5.003277933870178,1.4119177622341768,2.8123805344534722,1.3572280277352464,2.6684610267575053,1.06,1.06,0.1209349576812226,5.858463720505175,1.2541701611130933,3.182871200915001,1.1944251127064356,2.2590184196877185,1.425295034475155,1.06,0.4134974435692085,7.500788416635979,1.4163772538987869,2.5388726773855796,1.3495423075042172,1.5341736351414972,1.06,1.06
+0+4+4-3-3-5-5,1.5580046552307771,1.1946609425437287,1.4308620528277278,1.1118407798501606,1.1417246795227163,24.048381230149495,1.919642857142857,0.4800995024875622,0.9077890238120268,15.594199000730423,1.594971648630412,1.1946609425437287,0.9077890238120268,15.594199000730423,1.4964644423904416,1.1118407798501606,0.9219183361842698,0.5671740650223086,0.9213076596366649,0.5032347715391456,1.2471505121404005,10.795960630034624,1.5655226459553688,2.8730892256637364,1.471880514899635,2.189183023742332,1.06,0.6891315542487895,0.9181714344444467,10.795960630034624,1.4395862387354597,2.3311141268037865,1.3873080401961249,2.0531478447851046,1.919642857142857,0.4800995024875622,1.2168816066002837,14.934297103779429,1.4983993627193,2.393034195006098,1.4300639977609184,1.546877069290563,1.06,0.4800995024875622,1.2168816066002837,17.780895914222242,1.4983993627193,2.3362567467416366,1.4300639977609184,1.5190584958527025,1.06,0.4800995024875622
+2*4/1+2/5+5-2,1.5538761399494896,0.9074810459667697,1.49320704924016,0.8995803771492883,88.62103560535981,5026.042882744342,1.391891891891892,1.12962962962963,20.174894248567735,12525.71871342503,1.5538761399494896,1.06,20.174894248567735,12525.71871342503,1.49320704924016,1.06,0.8832437736641677,0.23167743588936904,0.8683876382017929,0.15184184067628417,97.40766460758745,3434.70762216822,1.370176062759818,1.1513535989606927,1.342391051537105,1.1424439504569615,1.06,1.12962962962963,106.01380252699742,4444.375043393284,1.3102651653265287,1.1202328559437447,1.2686665110228827,1.0950698979198494,1.06,1.06,173.97188669874205,7053.224190931317,1.1629855620736078,1.0037372540823521,1.1438098632898202,0.9979700599953747,1.06,1.06,173.97188669874205,12525.71871342503,1.1629855620736078,1.06,1.1438098632898202,1.06,1.06,1.06
+2*4/1+2/5+4+6,1.5538761399494896,0.9074810459667697,1.49320704924016,0.8995803771492883,91.457899599213,5030.394609443021,1.391891891891892,1.12962962962963,20.699289622663585,12527.13341839552,1.5538761399494896,1.06,20.699289622663585,12527.13341839552,1.49320704924016,1.06,0.8832437736641677,0.23167743588936904,0.8683876382017929,0.15184184067628417,112.70218899630187,3436.4700555010513,1.4054820532542502,1.1513535989606927,1.3611816779415962,1.1424439504569615,1.06,1.12962962962963,112.22454479653241,4447.603331647731,1.3245475833555156,1.1202328559437447,1.2860995060589648,1.0950698979198494,1.06,1.06,174.47676424602642,7054.660946863296,1.1629855620736078,1.0037372540823521,1.1438098632898202,0.9979700599953747,1.06,1.06,174.47676424602642,12527.13341839552,1.1629855620736078,1.06,1.1438098632898202,1.06,1.06,1.06
+2*4/1+2/5+5-0,1.5538761399494896,0.9074810459667697,1.49320704924016,0.8995803771492883,90.24018717472042,5029.01102262423,1.391891891891892,1.12962962962963,20.679012160906677,12526.019934918673,1.5538761399494896,1.06,20.679012160906677,12526.019934918673,1.49320704924016,1.06,0.8832437736641677,0.23167743588936904,0.8683876382017929,0.15184184067628417,111.60805754182675,3435.8982230951706,1.4054820532542502,1.1513535989606927,1.3611816779415962,1.1424439504569615,1.06,1.12962962962963,111.60805754182675,4445.101773983702,1.3245475833555156,1.1202328559437447,1.2860995060589648,1.0950698979198494,1.06,1.06,174.45589467133112,7054.109103687971,1.1629855620736078,1.0037372540823521,1.1438098632898202,0.9979700599953747,1.06,1.06,174.45589467133112,12526.019934918673,1.1629855620736078,1.06,1.1438098632898202,1.06,1.06,1.06
+3*4/1+1/0-5/6,1.5525875467475987,1.0796986864888123,1.2562641343910073,1.0645579052329763,3512.5913024946512,11533.962900625145,0.7897435897435898,1.009708737864078,95.3423071434658,15006.654101827049,1.6092148256354928,1.1528428263326238,95.3423071434658,15006.654101827049,1.3941129592474595,1.14498319731157,0.7532748924044044,0.5353745786851483,0.7286221507215693,0.5133498460219954,1089.4458956503427,10206.202562625844,1.4378224668792785,1.2074672677896219,1.2671260314319837,1.2010588191545917,0.7897435897435898,1.009708737864078,199.8555482047253,8026.643188565421,1.321598089221893,1.06,1.2621688873423085,1.06,0.7494652406417113,1.06,596.8259883172572,5365.323836963728,1.3687903473115695,1.1867002629164498,1.2469702742869566,1.1821348987975753,0.9625188536953244,1.1604131017720318,608.8957891043303,9148.334800423074,1.4047352621782083,1.1992061156073692,1.291319594260458,1.19376558929136,0.9625188536953244,1.009708737864078
+3*5/1+1/0-5/6,1.5525875467475987,1.0796986864888123,1.2562641343910073,1.0645579052329763,3510.9341891575164,10736.118849681701,0.7897435897435898,1.009708737864078,95.19941380067011,15006.399480870885,1.6092148256354928,1.1528428263326238,95.19941380067011,15006.399480870885,1.3941129592474595,1.14498319731157,0.7532748924044044,0.5353745786851483,0.7286221507215693,0.5133498460219954,1090.779453365469,4954.8395927843585,1.4378224668792785,1.2487215112101302,1.2671260314319837,1.2485298940673955,0.7897435897435898,1.2734746375523076,199.60154007813125,6616.367695048195,1.3903073203617082,1.06,1.3197090182610776,1.06,0.7494652406417113,1.06,595.597956185943,4585.236191141585,1.3687903473115695,1.2078370487163432,1.2469702742869566,1.2065657147034885,0.9625188536953244,1.2734746375523076,608.5973444689403,7694.853896383999,1.4047352621782083,1.1280533077934574,1.291319594260458,1.1200589913714807,0.9625188536953244,1.009708737864078
+0*2*2/4+2*4/1+4,1.550000976239902,0.9074810459667697,1.48900428862795,0.8995803771492883,91.24490812212427,5031.4578475425305,1.391891891891892,1.12962962962963,20.696218526337898,12526.774312170484,1.550000976239902,1.06,20.696218526337898,12526.774312170484,1.48900428862795,1.06,0.8789679648561012,0.23167743588936904,0.8638397845349896,0.15184184067628417,112.06309930064359,3436.0642585844744,1.4128734240428644,1.1513535989606927,1.3706330927861663,1.1424439504569615,1.06,1.12962962962963,112.06309930064359,4449.291645826712,1.3245475833555156,1.1202328559437447,1.2860995060589648,1.0950698979198494,1.06,1.06,103.46230984455252,7053.972124859928,1.3649380907410935,1.0037372540823521,1.3403117459126657,0.9979700599953747,1.06,1.06,118.70835551435226,12526.774312170484,1.3174022502550577,1.06,1.2728626151356697,1.06,1.06,1.06
+1*2/4+2*4/1+4,1.550000976239902,0.9074810459667697,1.48900428862795,0.8995803771492883,299.21023225493707,5029.18413223649,5e-324,1.12962962962963,20.71325911473768,12526.491462844468,1.550000976239902,1.06,20.71325911473768,12526.491462844468,1.48900428862795,1.06,0.8789679648561012,0.23167743588936904,0.8638397845349896,0.15184184067628417,112.06043431993685,3435.966478235571,1.4128734240428644,1.1513535989606927,1.3706330927861663,1.1424439504569615,5e-324,1.12962962962963,112.06043431993685,4446.631841296785,1.3245475833555156,1.1202328559437447,1.2860995060589648,1.0950698979198494,1.06,1.06,103.80280285750334,7053.883874093892,1.3649380907410935,1.0037372540823521,1.3403117459126657,0.9979700599953747,5e-324,1.06,118.16847551713383,12526.491462844468,1.3174022502550577,1.06,1.2728626151356697,1.06,5e-324,1.06
