id,CT,GeoNgn2
31426342,-1*2/0-0/3-0/4,1.7573582647997499
28567426,+4-3*3/1-0/1-5,1.7338687113269429
17275794,+0*1*6-0/3-2/0,1.732642317868482
11623917,+0*0*3/4-0/5-2,1.7317015003829566
29817213,-2*3*5/1/4-0/4,1.7289823216854392
25366714,+0*6-0/5-2-2-2,1.7240919477393863
25366630,+0*6-0/4-2-2-2,1.7240919477393863
22843351,+0*6-2*3/0-0/5,1.7240919477393863
22843350,+0*6-2*3/0-0/4,1.7240919477393863
11635670,+0*1*6/3-0/4-2,1.7163622377034113
11635677,+0*1*6/3-0/5-2,1.7163622377034113
30111690,-2*2/0/4-0*0/5,1.7152157545494797
30111689,-2*2/0/4-0*0/4,1.7152157545494797
31220515,-0*0/5-1*2-2/4,1.7152157545494797
30111837,-2*2/0/5-0*0/5,1.7152157545494797
3192542,-0*0/5-2*3/5,1.7152157545494797
3192398,-0*0/4-2*3/4,1.7152157545494797
3126915,-0*0/1/4-2/4,1.7152157545494797
20548173,+5/4+6-0/3-2/0,1.7122062013507122
29787614,-0*0*1/3/5-2/3,1.7089629414046694
30081446,-0*0/1/5-1*2/0,1.7089629414046694
305118,-6*6/4/4-2,1.6889055816547558
30148375,-6*6/4/4-2*5/4,1.6889055816547558
31426351,-1*2/0-0/3-2/0,1.687680972862822
32278235,-2*6-0/3-2/0-0,1.687680972862822
32361962,-0/3-2/0-2/3-0,1.687680972862822
22492716,+5/0-2*4/0/0-6,1.682565697426097
20742852,+0*6+4-0/1-3-5,1.6792732548229579
20279327,+5/4+4-5*5-0/1,1.678814690066082
22096330,+2*6-0*0*1/5-2,1.67364055727811
22909962,+2*6-1*2/0-0/4,1.6736075140083242
19702932,+6*6+5-5*5-2/5,1.6676674143685293
23762600,+1*6-1*6/3-2-2,1.6620548558638897
30096881,-0*6/4/5-1*2/0,1.6610572097176333
27882955,+5-2*3*3-5*5/3,1.6541025040186923
17533916,+3*6/5-2*3-6/5,1.6524096077185797
17532739,+3*6/4-2*3-6/4,1.6524096077185797
18118773,+3*6/4-6/5-2-2,1.6458498570670517
22025322,+1*5-1*1*4*4-2,1.64294676406771
28031570,+3-5*5*5-1*5-2,1.6343857405767572
28031066,+3-4*5*5-1*5-2,1.6343857405767572
28030082,+3-3*5*5-2*4-2,1.6343857405767572
3044903,+6-6/3-2-2-2,1.6337515849831405
23695992,+3*6-1*2*5-2-6,1.6337515849831405
29058945,+6-2*4-2/1-6/3,1.6337515849831405
29055754,+6-1*6-0/1-2/0,1.6206678087327915
27496770,+0-0*0/6/6-2/0,1.6170206467716646
30666655,-6*6/1/4-2/1-2,1.6139284795954036
30758591,-6*6/1/5-2-2-2,1.6139284795954036
27131513,+3-1*3*4*4-2*4,1.6101625814421907
32640296,-4/5-5/4-2-2-2,1.6042858906930668
7575296,+1*1/0+6/1-6/0,1.5970555324956246
7575131,+1*1/0+5/3-6/0,1.5970555324956246
7575049,+1*1/0+5/1-6/0,1.5970555324956246
7574885,+1*1/0+4/3-6/0,1.5970555324956246
7574803,+1*1/0+4/1-6/0,1.5970555324956246
22504969,+5/4-1*2/6/6-2,1.5956461725690685
18762648,+1*3+4-1*3*3-5,1.585853394212128
29793663,-0*1*6/3/5-2/4,1.5858299629365407
30125362,-3*3/4/4-0*0/6,1.5832465110631146
27833468,+1-2*3*3-1*1/3,1.579864905062501
22946990,+4*5-1*1/6-4/6,1.5765792411041408
2563217,+4+4-1*1/3/6,1.5765792411041408
21450997,+5+5+6-1*1/3/6,1.5765792411041408
21440833,+2+4+5-1*1/3/6,1.5765792411041408
21433903,+1+4+5-1*1/3/6,1.5765792411041408
25860116,+3+4-3*3*5/4-5,1.574394396650619
26220270,+5+6-4*4/3-5*5,1.5720543112448258
30552077,-0*3/4/4-4/1-0,1.5686109239054262
28682902,+5-5*5*5-2-2-2,1.5638509771473146
28360430,+5-2*5/1-5*5-2,1.556694899724614
28395498,+6-6*6/5-3*3-0,1.5565849979074813
144974,+5/4+4-5*5,1.5564311919944176
19979399,+5/4+4-0*0-5*5,1.5564311919944176
19979546,+5/4+4-0*6-5*5,1.5564311919944176
27458953,+4-0*3/6/6-4*5,1.554627053614502
2567721,+0+4-0*3*3-5,1.5524321016221019
26053132,+1+5-4*4*5-0/6,1.5513616727762127
27266739,+4-4*4*4/1-0*1,1.5471507135236724
16506157,+4+4+4+4-1/6-6,1.5449747508477296
21968257,+1/0-1*1*2/0/0,1.544966297206088
25872881,+5+5-4*5*5/1-4,1.542638493646872
3132721,-1*2/4/4-4/1,1.5426043728610226
21569112,+3+3+3-2*4-3*3,1.5417118045498226
426153,+1*1*1*1/2/6+1/2,1.5396442238967143
22169940,+2*2-2*2/0/0-0,1.534859936163043
19488550,+0*0+5-5*5-0/3,1.532932948954395
1456426,+3*3*6-4*4*4,1.5318229379016843
26001589,+4+5-4*5*5-4*6,1.5286763761313436
29791621,-0*1*1/5/5-5/1,1.5219211641460773
27074776,+1-3*3*3/0/5-0,1.5168145827279298
4457277,+0*4/6/6+4*4*4+6,1.509544618949494
4466139,+0*5/6/6+5*5*5+6,1.509544618949494
21569099,+3+3+3-2*3-3*3,1.5085208747712593
26395847,+6+6-3*3/1-0/1,1.506808930843005
15719868,+6*6+3+3-3*3-0,1.5061909677863885
30082676,-0*0/3/4-3*3/4,1.5058538041055267
28799088,+1-1*1-6*6-1/3,1.4972492327391398
7215308,+1*1/6+5*5-5/6,1.4901514369026243
1950203,+1*1*1*1/3+5/3+3,1.4890920585447713
