id,CT,GeoNgn
31082770,-0*0*3-0/4-2/4,1.6508811118473026
31083673,-0*0*4-0/4-2/4,1.6508811118473026
31083711,-0*0*4-0/5-2/4,1.6508811118473026
31104442,-0*6*6-0/4-2/4,1.6508811118473026
31104480,-0*6*6-0/5-2/4,1.6508811118473026
31398438,-0*2/1-0/5-2/4,1.6430659155935716
31399341,-0*2/3-0/5-2/4,1.6430659155935716
31398400,-0*2/1-0/4-2/4,1.6430659155935716
25212396,+5/0-2/0-3/6-4,1.6405463612621276
20520106,+5/0+1-2/0-3/6,1.6405463612621276
2376237,+5/0-2/0-3/6,1.6405463612621276
20520112,+5/0+1-2/0-4/6,1.6405463612621276
31123405,-1*6*6-0/4-2/4,1.634757051210185
24744595,+1/0-3*3-4/6-6,1.6278950438577782
25069383,+1/0-3/6-3/6-1,1.6278950438577782
24744594,+1/0-3*3-4/6-5,1.6278950438577782
24744591,+1/0-3*3-4/6-2,1.6278950438577782
25069384,+1/0-3/6-3/6-2,1.6278950438577782
25069387,+1/0-3/6-3/6-5,1.6278950438577782
23430495,+1/0-1*2/6-5/6,1.6278950438577782
2355969,+1/0-5/6-5/6,1.6278950438577782
25070520,+1/0-5/6-5/6-4,1.6278950438577782
2355906,+1/0-4/6-4/6,1.6278950438577782
5891776,+3*3*6/0/5-5/6,1.6278950438577782
3136605,-2*3/1/4-0/4,1.6215516160035905
3136606,-2*3/1/4-0/5,1.6181594246424038
31396630,-0*1/5-0/5-2/1,1.6145124655581422
2376248,+5/0-2/0-5/6,1.594416739946951
30544064,-0*1/5/5-2/3-2,1.589427250570063
3135556,-2*2/0/3-0/5,1.582012845136828
994555,+0*0*6+4-3-5,1.5775420601871326
29478523,+4-1/4-1/5-3-5,1.5768552334378465
26403627,+0+4-0*0*0-3-5,1.5751953735559718
29345383,+4-6*6-1/4-3-5,1.5751953735559718
27703309,+4-4*6*6/5-3-5,1.5751953735559718
27652846,+4-2*3*6*6-3-5,1.5751953735559718
20597511,+0*1+4-1*1-3-5,1.5751953735559718
23736168,+0*6-0*0/3-2-2,1.5741357583598223
31081906,-0*0*2-0/5-2/5,1.5704262452552105
29816541,-2*3*3/6/6-0/4,1.568103653691126
23504986,+3/0-3*4/0-4/6,1.5643692083711027
27700138,+4-1*6*6/2-3-5,1.5532077935394457
27761563,+4-1*1/2/4-3-5,1.5532077935394457
27763789,+4-2*2/5/5-3-5,1.544480359443249
2703619,+4+4-3-3-5-5,1.542854578627978
23431719,+1/0-2*3/5-4/6,1.5350448582561063
30533767,-6*6/4/4-2*2-2,1.5068220343200498
29660272,-5*6*6/1/1/3-2,1.5059696000508365
10687376,+0*6+4+4+5-5*5,1.5046614352161796
29819069,-2*4*6/1/1-1/6,1.501280967094845
29820119,-2*5*6/1/1-1/6,1.501280967094845
19453317,+2*6+1-1*1-2*3,1.5001084005217875
11483642,+0*0*1*6-2/1-0,1.4907042901817589
22040729,+3*6-4*4*6*6-2,1.488387805460731
11619185,+0*0*0/3-0/1-2,1.4867245643888867
20279340,+5/4+4-5*5-2/1,1.4814574456215914
12507173,+3*5*6+5-5*5-2,1.4772018386346464
21410688,+4+4+6-5*5*5/4,1.4757556441057809
23434366,+1/0-6*6/0-1/6,1.4726418082684172
18823354,+5*6+5-4*5*5-2,1.4721289563348179
17151418,+1*5*6-3*3-5*6,1.4675930454716422
17150604,+1*4*6-3*3-4*6,1.4675930454716422
27318946,+1-3*3*3/2-2/5,1.46302459523124
28926213,+1-1*2-2/3-3/2,1.4603942093128335
13224293,+4*5+5*5-5*5*5,1.4578955844645365
28167443,+4-1*1*5-5/2-6,1.457844317691154
15209486,+4*4+0+4-5*5*5,1.453413683734098
29659425,-4*6*6/1/3/3-2,1.4530793661326329
22946990,+4*5-1*1/6-4/6,1.4519921930207562
1561642,+2*5/1-2*2-5,1.4518286120977493
8725789,+5*5*6+5+5-5/6,1.45013590158719
8719651,+4*4*6+3+4-4/6,1.45013590158719
8719777,+4*4*6+4+4-4/6,1.45013590158719
12981868,+2*4/1+4-4/3-1,1.4482200149580249
27276031,+5-2*5*5/3-5*5,1.4467753944433788
23579038,+5/0-6*6/0-5/6,1.4454149025609095
29221608,+6-3*3-5*6-3-3,1.4441605385097798
11506439,+1*1*1*6-5/6-5,1.442981975187109
6038910,+1*1*1*6+4-4/6,1.442981975187109
6038778,+1*1*1*6+1-3/6,1.442981975187109
12517757,+5*5*6+5-5*5-2,1.4407721927923482
27163999,+1-1*1*1*3-3/4,1.4384547978219022
12981785,+2*4/1+4-2/1-2,1.4345236150554932
22430586,+1/6-1*2/6/6-1,1.4340536498975864
21668525,+4+5+5-5*5-1/4,1.4339064457337873
21574124,+4+5+5-0*1-5*5,1.4339064457337873
27497071,+0-0*1/3/4-3/1,1.432654451949582
2971949,+5-5*5-2/4-2,1.4318533771890898
27164000,+1-1*1*1*3-3/5,1.4310347419238796
25962288,+1+1-0*3*3-1*1,1.4297041018052128
22886567,+2*2-2*3/0-0/3,1.4276812662807339
14954468,+0*2+2*6-0-0-2,1.4268264205216572
25330514,+3*6-2*3-2-2-6,1.426119179069382
2927429,+5-2*5-5*5-2,1.4251716922094024
28386489,+6-3*3/0-0*0-3,1.4232656066113851
2637234,+4+4-0*4-0/6,1.4226937894240157
17042224,+1*5/3-0*5/1-1,1.4205795919239586
3028561,+6-6*6-3-3-3,1.416474626023481
2099221,+5/1-5*5/1/1,1.414309810422862
27230485,+1-2*2*2/0-1*1,1.413324181738847
